Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.52, 7100, $1.48, $1.52, $1.445
07/30/2020, $1.5, 18125, $1.495, $1.54, $1.43
07/29/2020, $1.5, 2223, $1.54, $1.54, $1.48
07/28/2020, $1.5399, 1351, $1.54, $1.54, $1.52
07/27/2020, $1.54, 1697, $1.52, $1.54, $1.52
07/24/2020, $1.55, 3794, $1.53, $1.59, $1.5001
07/23/2020, $1.545, 9576, $1.6, $1.65, $1.53
07/22/2020, $1.61, 5625, $1.58, $1.67, $1.5501
07/21/2020, $1.62, 4243, $1.58, $1.64, $1.56
07/20/2020, $1.62, 14856, $1.68, $1.69, $1.58
07/17/2020, $1.625, 31723, $1.65, $1.65, $1.475
07/16/2020, $1.64, 21355, $1.56, $1.6427, $1.545
07/15/2020, $1.57, 2985, $1.6, $1.6, $1.515
07/14/2020, $1.48, 14047, $1.5798, $1.6, $1.47
07/13/2020, $1.6111, 17967, $1.66, $1.72, $1.6103
07/10/2020, $1.6918, 21170, $1.56, $1.7, $1.55
07/09/2020, $1.5299, 11304, $1.5197, $1.55, $1.505
07/08/2020, $1.54, 9045, $1.53, $1.55, $1.5
07/07/2020, $1.5473, 23862, $1.5, $1.55, $1.5
07/06/2020, $1.52, 21343, $1.44, $1.55, $1.44
07/02/2020, $1.45, 21645, $1.54, $1.5697, $1.4401
07/01/2020, $1.5324, 17868, $1.52, $1.5699, $1.52
06/30/2020, $1.59, 14269, $1.54, $1.59, $1.438
06/29/2020, $1.54, 7450, $1.49, $1.59, $1.4523
06/26/2020, $1.575, 14008, $1.56, $1.59, $1.46
06/25/2020, $1.555, 14751, $1.54, $1.555, $1.43
06/24/2020, $1.54, 31502, $1.4, $1.56, $1.4
06/23/2020, $1.54, 67849, $1.47, $1.54, $1.4
06/22/2020, $1.47, 22449, $1.51, $1.51, $1.3801
06/19/2020, $1.44, 18366, $1.43, $1.495, $1.4
06/18/2020, $1.4303, 20595, $1.38, $1.48, $1.38
06/17/2020, $1.46, 87522, $1.58, $1.65, $1.3527
06/16/2020, $1.61, 30564, $1.72, $1.75, $1.54
06/15/2020, $1.75, 51739, $1.7, $1.8499, $1.54
06/12/2020, $1.9, 272751, $1.7, $1.9, $1.4505
06/11/2020, $1.5377, 108407, $1.52, $1.675, $1.432
06/10/2020, $1.49, 26696, $1.4, $1.6, $1.337
06/09/2020, $1.39, 6718, $1.375, $1.4501, $1.36
06/08/2020, $1.37, 1116, $1.365, $1.37, $1.36
06/05/2020, $1.37, 11342, $1.2501, $1.4, $1.2501
06/04/2020, $1.4, 24475, $1.36, $1.5, $1.3
06/03/2020, $1.375, 4696, $1.32, $1.375, $1.25
06/02/2020, $1.31, 332, $1.32, $1.32, $1.31
06/01/2020, $1.32, 1364, $1.33, $1.34, $1.295
05/29/2020, $1.3001, 5714, $1.35, $1.35, $1.25
05/28/2020, $1.34, 1430, $1.33, $1.34, $1.295
05/27/2020, $1.3698, 14416, $1.4, $1.53, $1.25
05/26/2020, $1.355, 6727, $1.35, $1.4, $1.35
05/22/2020, $1.43, 7445, $1.47, $1.47, $1.35
05/21/2020, $1.4072, 1725, $1.45, $1.45, $1.4072
05/20/2020, $1.46, 244, $1.46, $1.46, $1.46
05/19/2020, $1.419, 1541, $1.4181, $1.419, $1.4181
05/18/2020, $1.4356, 562, $1.45, $1.45, $1.4356
05/15/2020, $1.46, 941, $1.46, $1.46, $1.45
05/14/2020, $1.49, 1346, $1.5, $1.525, $1.49
05/13/2020, $1.455, 904, $1.46, $1.54, $1.455
05/12/2020, $1.4, 12916, $1.37, $1.4, $1.35
05/11/2020, $1.44, 11768, $1.45, $1.45, $1.35
