Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.2554, 80584, $0.275, $0.3125, $0.221
07/30/2020, $0.2901, 37428, $0.3202, $0.325, $0.27
07/29/2020, $0.36, 4558, $0.3, $0.36, $0.3
07/28/2020, $0.36, 24151, $0.38, $0.38, $0.32
07/27/2020, $0.3801, 159702, $0.3499, $0.422, $0.2601
07/24/2020, $0.29, 37595, $0.3201, $0.3201, $0.2501
07/23/2020, $0.303, 40976, $0.38, $0.4229, $0.3
07/22/2020, $0.3695, 31049, $0.351, $0.39, $0.315
07/21/2020, $0.36, 63031, $0.3999, $0.3999, $0.331
07/20/2020, $0.37, 74544, $0.39, $0.41, $0.37
07/17/2020, $0.3989, 62270, $0.4003, $0.4399, $0.38
07/16/2020, $0.45, 62242, $0.42, $0.45, $0.39
07/15/2020, $0.47, 39225, $0.45, $0.49, $0.38
07/14/2020, $0.4189, 111636, $0.395, $0.4199, $0.3007
07/13/2020, $0.4299, 307367, $0.4515, $0.49, $0.37
07/10/2020, $0.4182, 137488, $0.46, $0.48, $0.4
07/09/2020, $0.4747, 92661, $0.46, $0.5, $0.3812
07/08/2020, $0.4502, 104465, $0.42, $0.51, $0.3841
07/07/2020, $0.432, 81172, $0.47, $0.49, $0.399
07/06/2020, $0.5, 83301, $0.53, $0.53, $0.4884
07/02/2020, $0.53, 48203, $0.57, $0.58, $0.444
07/01/2020, $0.56, 190710, $0.6, $0.6, $0.4393
06/30/2020, $0.46, 10115, $0.5699, $0.5699, $0.45
06/29/2020, $0.4801, 148379, $0.45, $0.7, $0.4
06/26/2020, $0.39, 124173, $0.398, $0.4498, $0.39
06/25/2020, $0.4, 39308, $0.35, $0.4489, $0.35
06/24/2020, $0.34, 29830, $0.35, $0.45, $0.34
06/23/2020, $0.35, 99643, $0.2966, $0.459, $0.2965
06/22/2020, $0.3499, 2800, $0.34, $0.35, $0.34
06/19/2020, $0.35, 58426, $0.3, $0.35, $0.29
06/18/2020, $0.3, 105428, $0.2799, $0.3, $0.25
06/17/2020, $0.2599, 100300, $0.265, $0.2999, $0.2289
06/16/2020, $0.27, 14684, $0.23, $0.27, $0.22
06/15/2020, $0.239, 2700, $0.224, $0.2399, $0.204
06/12/2020, $0.2399, 13500, $0.2199, $0.2499, $0.183
06/11/2020, $0.2199, 43807, $0.28, $0.9168, $0.1999
06/10/2020, $0.15, 360658, $0.25, $0.25, $0.15
06/09/2020, $0.24, 52390, $0.39, $0.45, $0.23
06/08/2020, $0.3, 1083768, $0.2, $0.3, $0.185
06/05/2020, $0.18, 173784, $0.17, $0.1999, $0.16
06/04/2020, $0.1649, 622225, $0.1699, $0.17, $0.15
06/03/2020, $0.1798, 15134, $0.1699, $0.18, $0.165
06/02/2020, $0.1301, 14126, $0.17, $0.17, $0.13
06/01/2020, $0.125, 133062, $0.16, $0.16, $0.12
05/29/2020, $0.18, 30100, $0.16, $0.18, $0.141
05/28/2020, $0.179, 20539, $0.179, $0.179, $0.15
05/27/2020, $0.169, 18820, $0.15, $0.179, $0.14
05/26/2020, $0.15, 25391, $0.13, $0.18, $0.13
05/22/2020, $0.115, 4137, $0.11, $0.1725, $0.11
05/21/2020, $0.1087, 13492, $0.12, $0.182, $0.1
05/20/2020, $0.1695, 1154, $0.12, $0.18, $0.09
05/19/2020, $0.189, 4308, $0.2, $0.2, $0.1699
05/18/2020, $0.2, 140600, $0.11, $0.2, $0.1095
05/15/2020, $0.08, 58021, $0.0699, $0.1099, $0.0699
05/14/2020, $0.06, 22700, $0.0539, $0.06, $0.0539
05/13/2020, $0.0446, N/A, $0.0446, $0.0446, $0.0446
05/12/2020, $0.0446, N/A, $0.0446, $0.0446, $0.0446
05/11/2020, $0.0446, N/A, $0.0446, $0.0446, $0.0446
