Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.697, 1504912, $0.7599, $0.7599, $0.66
07/30/2020, $0.7605, 962063, $0.81, $0.8183, $0.7481
07/29/2020, $0.8024, 834237, $0.8119, $0.83, $0.785
07/28/2020, $0.8279, 2936615, $0.819, $0.86, $0.77
07/27/2020, $0.8399, 6719476, $0.73, $0.9278, $0.7213
07/24/2020, $0.7238, 601068, $0.725, $0.7399, $0.71
07/23/2020, $0.7198, 982685, $0.7175, $0.7679, $0.7001
07/22/2020, $0.7125, 1082429, $0.68, $0.73, $0.68
07/21/2020, $0.6764, 1097889, $0.73, $0.7399, $0.67
07/20/2020, $0.7154, 1476979, $0.7615, $0.777, $0.7093
07/17/2020, $0.7769, 1717710, $0.78, $0.785, $0.7375
07/16/2020, $0.7451, 2495172, $0.692, $0.77, $0.69
07/15/2020, $0.692, 1610918, $0.66, $0.7176, $0.6501
07/14/2020, $0.6537, 1140476, $0.64, $0.67, $0.615
07/13/2020, $0.6372, 679258, $0.6249, $0.6441, $0.62
07/10/2020, $0.63, 1310665, $0.651, $0.6533, $0.616
07/09/2020, $0.651, 2248831, $0.6178, $0.67, $0.6103
07/08/2020, $0.5753, 1069318, $0.58, $0.599, $0.57
07/07/2020, $0.5701, 743935, $0.57, $0.585, $0.5577
07/06/2020, $0.5613, 2317698, $0.6, $0.6, $0.52
07/02/2020, $0.572, 929849, $0.6, $0.6, $0.57
07/01/2020, $0.58, 1345643, $0.6201, $0.6287, $0.5711
06/30/2020, $0.6201, 735138, $0.65, $0.65, $0.6031
06/29/2020, $0.62, 1226269, $0.6, $0.6393, $0.57
06/26/2020, $0.59, 12717630, $0.56, $0.599, $0.55
06/25/2020, $0.5816, 1561182, $0.599, $0.599, $0.57
06/24/2020, $0.5998, 2620060, $0.66, $0.667, $0.57
06/23/2020, $0.6323, 2323772, $0.6825, $0.69, $0.6201
06/22/2020, $0.685, 1397002, $0.725, $0.725, $0.66
06/19/2020, $0.7079, 1764718, $0.76, $0.76, $0.7
06/18/2020, $0.7356, 1693303, $0.756, $0.78, $0.72
06/17/2020, $0.7952, 2061818, $0.8, $0.8298, $0.74
06/16/2020, $0.7615, 2069721, $0.8, $0.821, $0.7201
06/15/2020, $0.8013, 4022655, $0.6754, $0.8382, $0.6285
06/12/2020, $0.708, 3236876, $0.745, $0.745, $0.67
06/11/2020, $0.738, 7352302, $0.689, $0.77, $0.642
06/10/2020, $0.891, 31409950, $1.1, $1.15, $0.8
06/09/2020, $0.6987, 9169218, $0.69, $0.73, $0.58
06/08/2020, $0.6623, 3367682, $0.595, $0.6699, $0.5912
06/05/2020, $0.575, 2982238, $0.525, $0.584, $0.5201
06/04/2020, $0.525, 3072037, $0.46, $0.525, $0.46
06/03/2020, $0.4648, 1389668, $0.4746, $0.481, $0.4511
06/02/2020, $0.47, 2667744, $0.4296, $0.478, $0.4251
06/01/2020, $0.4306, 957835, $0.45, $0.45, $0.423
05/29/2020, $0.4361, 1528303, $0.4673, $0.4673, $0.422
05/28/2020, $0.4491, 1412150, $0.44, $0.4646, $0.4385
05/27/2020, $0.4411, 969525, $0.45, $0.45, $0.423
05/26/2020, $0.4478, 1212221, $0.45, $0.454, $0.425
05/22/2020, $0.4401, 1226450, $0.4355, $0.446, $0.4199
05/21/2020, $0.4355, 993106, $0.43, $0.449, $0.42
05/20/2020, $0.4313, 2196600, $0.44, $0.4447, $0.415
05/19/2020, $0.4301, 1454837, $0.47, $0.48, $0.43
05/18/2020, $0.47, 2295110, $0.43, $0.5, $0.43
05/15/2020, $0.4834, 1230321, $0.47, $0.4862, $0.45
05/14/2020, $0.47, 1549181, $0.45, $0.4869, $0.4101
05/13/2020, $0.46, 1386329, $0.527, $0.527, $0.45
05/12/2020, $0.476, 3413513, $0.5001, $0.5199, $0.455
05/11/2020, $0.5325, 1583898, $0.582, $0.582, $0.5325
