Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.5788, 91039, $0.57, $0.5959, $0.57
07/30/2020, $0.57, 120775, $0.586, $0.586, $0.56
07/29/2020, $0.59, 113774, $0.5851, $0.5999, $0.5751
07/28/2020, $0.5851, 123712, $0.5749, $0.5999, $0.5746
07/27/2020, $0.5756, 186138, $0.6, $0.6026, $0.57
07/24/2020, $0.5925, 114607, $0.604, $0.604, $0.5726
07/23/2020, $0.604, 172305, $0.615, $0.6399, $0.581
07/22/2020, $0.614, 599147, $0.63, $0.6565, $0.6
07/21/2020, $0.5701, 214624, $0.6, $0.6, $0.5602
07/20/2020, $0.5758, 77758, $0.61, $0.61, $0.56
07/17/2020, $0.5823, 111244, $0.6026, $0.6026, $0.5618
07/16/2020, $0.6, 46118, $0.595, $0.6099, $0.59
07/15/2020, $0.5914, 67173, $0.6106, $0.6106, $0.58
07/14/2020, $0.589, 102474, $0.59, $0.6, $0.58
07/13/2020, $0.6036, 92416, $0.59, $0.6127, $0.59
07/10/2020, $0.6, 77937, $0.5645, $0.6282, $0.5645
07/09/2020, $0.6, 123083, $0.6, $0.6497, $0.5801
07/08/2020, $0.625, 140556, $0.6397, $0.6397, $0.6035
07/07/2020, $0.6048, 173688, $0.6589, $0.6589, $0.5817
07/06/2020, $0.62, 558745, $0.6306, $0.7298, $0.6006
07/02/2020, $0.6006, 114923, $0.59, $0.6191, $0.58
07/01/2020, $0.59, 105751, $0.5735, $0.64, $0.55
06/30/2020, $0.59, 160499, $0.5735, $0.64, $0.55
06/29/2020, $0.5626, 142636, $0.57, $0.5893, $0.5302
06/26/2020, $0.56, 84727, $0.551, $0.5794, $0.5445
06/25/2020, $0.5551, 70583, $0.5632, $0.5919, $0.5401
06/24/2020, $0.5768, 87143, $0.54, $0.6122, $0.54
06/23/2020, $0.5804, 180688, $0.5728, $0.6, $0.56
06/22/2020, $0.58, 154790, $0.55, $0.5924, $0.528
06/19/2020, $0.55, 196314, $0.5603, $0.5904, $0.55
06/18/2020, $0.569, 62313, $0.57, $0.5914, $0.5504
06/17/2020, $0.579, 110327, $0.5767, $0.6, $0.5501
06/16/2020, $0.579, 132375, $0.571, $0.6497, $0.55
06/15/2020, $0.5867, 103795, $0.57, $0.6001, $0.5499
06/12/2020, $0.6, 153748, $0.61, $0.62, $0.577
06/11/2020, $0.5699, 164259, $0.565, $0.6, $0.54
06/10/2020, $0.63, 271576, $0.69, $0.69, $0.5927
06/09/2020, $0.69, 268540, $0.73, $0.73, $0.6359
06/08/2020, $0.71, 521137, $0.704, $0.75, $0.66
06/05/2020, $0.633, 422348, $0.64, $0.6724, $0.6106
06/04/2020, $0.5929, 279940, $0.5492, $0.6052, $0.5167
06/03/2020, $0.5401, 166413, $0.52, $0.5589, $0.5
06/02/2020, $0.5169, 306730, $0.503, $0.5399, $0.49
06/01/2020, $0.524, 117944, $0.5051, $0.5584, $0.5051
05/29/2020, $0.531, 142603, $0.52, $0.531, $0.5049
05/28/2020, $0.54, 149827, $0.5633, $0.5633, $0.51
05/27/2020, $0.54, 88768, $0.5572, $0.5699, $0.5201
05/26/2020, $0.5572, 183017, $0.52, $0.5655, $0.51
05/22/2020, $0.54, 69029, $0.54, $0.5677, $0.5267
05/21/2020, $0.5679, 88259, $0.54, $0.5739, $0.51
05/20/2020, $0.5446, 177186, $0.5302, $0.5446, $0.5
05/19/2020, $0.52, 198468, $0.48, $0.5302, $0.48
05/18/2020, $0.52, 121052, $0.5202, $0.5302, $0.51
05/15/2020, $0.52, 91021, $0.5202, $0.5302, $0.51
05/14/2020, $0.4744, 60954, $0.47, $0.4836, $0.4501
05/13/2020, $0.4869, 62174, $0.4751, $0.5015, $0.46
05/12/2020, $0.49, 164904, $0.503, $0.5199, $0.467
05/11/2020, $0.52, 87459, $0.5566, $0.5566, $0.503
