Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.43, 196742, $1.5, $1.5399, $1.4101
07/30/2020, $1.52, 143247, $1.5, $1.56, $1.43
07/29/2020, $1.53, 141843, $1.46, $1.54, $1.42
07/28/2020, $1.47, 124349, $1.47, $1.5001, $1.41
07/27/2020, $1.5, 351556, $1.54, $1.6037, $1.39
07/24/2020, $1.49, 153635, $1.48, $1.58, $1.47
07/23/2020, $1.47, 159683, $1.58, $1.58, $1.47
07/22/2020, $1.5, 240092, $1.67, $1.6868, $1.5
07/21/2020, $1.66, 169506, $1.64, $1.71, $1.6101
07/20/2020, $1.58, 138099, $1.75, $1.77, $1.58
07/17/2020, $1.72, 193070, $1.56, $1.74, $1.56
07/16/2020, $1.56, 155087, $1.64, $1.65, $1.54
07/15/2020, $1.63, 367697, $1.54, $1.65, $1.5
07/14/2020, $1.49, 235837, $1.45, $1.5, $1.39
07/13/2020, $1.45, 222378, $1.48, $1.52, $1.37
07/10/2020, $1.5, 418316, $1.28, $1.51, $1.261
07/09/2020, $1.34, 373365, $1.32, $1.36, $1.25
07/08/2020, $1.38, 678903, $1.4, $1.415, $1.26
07/07/2020, $1.41, 765771, $1.54, $1.58, $1.37
07/06/2020, $1.54, 224140, $1.64, $1.65, $1.51
07/02/2020, $1.59, 155461, $1.65, $1.7, $1.58
07/01/2020, $1.66, 233762, $1.68, $1.72, $1.56
06/30/2020, $1.69, 272898, $1.68, $1.72, $1.57
06/29/2020, $1.67, 347016, $1.58, $1.7, $1.55
06/26/2020, $1.57, 1250391, $1.76, $1.77, $1.57
06/25/2020, $1.75, 160554, $1.65, $1.76, $1.65
06/24/2020, $1.7, 300297, $1.86, $1.88, $1.62
06/23/2020, $1.92, 209874, $1.82, $1.94, $1.77
06/22/2020, $1.78, 229459, $1.95, $2, $1.75
06/19/2020, $1.96, 388389, $2.15, $2.17, $1.91
06/18/2020, $2.14, 213394, $2.16, $2.17, $2.07
06/17/2020, $2.14, 388642, $2.15, $2.2, $1.97
06/16/2020, $2.15, 366475, $2.2, $2.28, $2.12
06/15/2020, $2.15, 341888, $2.39, $2.44, $2.12
06/12/2020, $2.46, 152421, $2.48, $2.67, $2.32
06/11/2020, $2.35, 200112, $2.71, $2.71, $2.3
06/10/2020, $2.92, 148390, $3.01, $3.02, $2.87
06/09/2020, $3.04, 231490, $3.59, $3.64, $3
06/08/2020, $3.64, 528692, $3.03, $4.29, $3
06/05/2020, $2.93, 260722, $2.96, $3.185, $2.83
06/04/2020, $2.56, 139932, $2.53, $2.6, $2.3
06/03/2020, $2.53, 87680, $2.41, $2.57, $2.31
06/02/2020, $2.33, 174414, $2.25, $2.37, $2.12
06/01/2020, $2.19, 305340, $2.38, $2.75, $2.16
05/29/2020, $2.38, 120611, $2.65, $2.75, $2.34
05/28/2020, $2.61, 323761, $2.49, $2.98, $2.37
05/27/2020, $2.2, 147285, $2.12, $2.29, $2.06
05/26/2020, $2.05, 175116, $1.95, $2.38, $1.95
05/22/2020, $1.96, 53456, $1.96, $2, $1.91
05/21/2020, $1.96, 55099, $1.91, $2.01, $1.89
05/20/2020, $1.92, 62307, $1.95, $1.98, $1.89
05/19/2020, $1.89, 108085, $2.01, $2.01, $1.83
05/18/2020, $1.99, 105387, $1.75, $2, $1.75
05/15/2020, $1.72, 64280, $1.62, $1.75, $1.62
05/14/2020, $1.57, 88623, $1.65, $1.6549, $1.535
05/13/2020, $1.71, 98188, $1.68, $1.71, $1.55
05/12/2020, $1.64, 58043, $1.86, $1.86, $1.61
05/11/2020, $1.83, 77568, $1.91, $1.96, $1.755
