Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.37, 4740, $0.41, $0.41, $0.37
07/30/2020, $0.42, 29310, $0.4201, $0.4202, $0.42
07/29/2020, $0.5, N/A, $0.5, $0.5, $0.5
07/28/2020, $0.5, N/A, $0.5, $0.5, $0.5
07/27/2020, $0.5, 300, $0.5, $0.5, $0.5
07/24/2020, $0.54, 100, $0.54, $0.54, $0.54
07/23/2020, $0.48, 35000, $0.48, $0.48, $0.48
07/22/2020, $0.51, N/A, $0.51, $0.51, $0.51
07/21/2020, $0.51, 7900, $0.5102, $0.55, $0.51
07/20/2020, $0.5102, N/A, $0.5102, $0.5102, $0.5102
07/17/2020, $0.5102, 10600, $0.5285, $0.5285, $0.5102
07/16/2020, $0.53, 1950, $0.5102, $0.53, $0.5102
07/15/2020, $0.53, 431, $0.53, $0.53, $0.53
07/14/2020, $0.6102, 116, $0.6102, $0.6102, $0.6102
07/13/2020, $0.6, 258, $0.6, $0.6, $0.6
07/10/2020, $0.6, 39950, $0.5, $0.6499, $0.5
07/09/2020, $0.65, 2000, $0.64, $0.65, $0.64
07/08/2020, $0.5933, N/A, $0.5933, $0.5933, $0.5933
07/07/2020, $0.5933, 1600, $0.59, $0.6, $0.59
07/06/2020, $0.48, 12287, $0.55, $0.6, $0.48
07/02/2020, $0.48, N/A, $0.48, $0.48, $0.48
07/01/2020, $0.48, 46090, $0.5, $0.51, $0.48
06/30/2020, $0.54, 9450, $0.5239, $0.5696, $0.48
06/29/2020, $0.4572, 2000, $0.455, $0.4572, $0.455
06/26/2020, $0.44, 200, $0.44, $0.44, $0.44
06/25/2020, $0.38, 64338, $0.5001, $0.5001, $0.3
06/24/2020, $0.5477, N/A, $0.5477, $0.5477, $0.5477
06/23/2020, $0.5477, N/A, $0.5477, $0.5477, $0.5477
06/22/2020, $0.5477, 1933, $0.55, $0.55, $0.5477
06/19/2020, $0.5475, 14507, $0.45, $0.55, $0.45
06/18/2020, $0.4, 2051, $0.4, $0.4, $0.4
06/17/2020, $0.3446, 17817, $0.39, $0.55, $0.3429
06/16/2020, $0.38, N/A, $0.38, $0.38, $0.38
06/15/2020, $0.38, 600, $0.38, $0.38, $0.38
06/12/2020, $0.375, 42300, $0.4, $0.4, $0.375
06/11/2020, $0.4, 5300, $0.41, $0.44, $0.3362
06/10/2020, $0.4, 10000, $0.39, $0.4, $0.38
06/09/2020, $0.38, 1400, $0.38, $0.38, $0.38
06/08/2020, $0.38, 616, $0.3778, $0.38, $0.3778
06/05/2020, $0.33, 6399, $0.3, $0.33, $0.3
06/04/2020, $0.32, 600, $0.35, $0.35, $0.32
06/03/2020, $0.35, N/A, $0.35, $0.35, $0.35
06/02/2020, $0.35, 28000, $0.339, $0.35, $0.3
06/01/2020, $0.34, 128737, $0.27, $0.34, $0.2699
05/29/2020, $0.28, N/A, $0.28, $0.28, $0.28
05/28/2020, $0.28, N/A, $0.28, $0.28, $0.28
05/27/2020, $0.28, 500, $0.28, $0.28, $0.28
05/26/2020, $0.28, N/A, $0.28, $0.28, $0.28
05/22/2020, $0.28, N/A, $0.28, $0.28, $0.28
05/21/2020, $0.28, N/A, $0.28, $0.28, $0.28
05/20/2020, $0.28, N/A, $0.28, $0.28, $0.28
05/19/2020, $0.28, N/A, $0.28, $0.28, $0.28
05/18/2020, $0.28, N/A, $0.28, $0.28, $0.28
05/15/2020, $0.28, N/A, $0.28, $0.28, $0.28
05/14/2020, $0.28, 102, $0.28, $0.28, $0.28
05/13/2020, $0.2074, N/A, $0.2074, $0.2074, $0.2074
05/12/2020, $0.2074, N/A, $0.2074, $0.2074, $0.2074
05/11/2020, $0.2074, N/A, $0.2074, $0.2074, $0.2074
