Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.3981, 8900, $0.43, $0.43, $0.36
07/30/2020, $0.401, 6370, $0.43, $0.4301, $0.4
07/29/2020, $0.42, 12763, $0.44, $0.44, $0.42
07/28/2020, $0.42, 4335, $0.435, $0.44, $0.42
07/27/2020, $0.45, 124585, $0.4499, $0.45, $0.4001
07/24/2020, $0.45, 79102, $0.51, $0.51, $0.3926
07/23/2020, $0.5205, 36024, $0.54, $0.54, $0.505
07/22/2020, $0.5, 120703, $0.5999, $0.5999, $0.46
07/21/2020, $0.5999, 47300, $0.62, $0.62, $0.5872
07/20/2020, $0.6299, 8881, $0.6, $0.63, $0.6
07/17/2020, $0.59, 13397, $0.601, $0.62, $0.59
07/16/2020, $0.59, N/A, $0.59, $0.59, $0.59
07/15/2020, $0.59, 74441, $0.6, $0.66, $0.58
07/14/2020, $0.6, 42770, $0.601, $0.6554, $0.6
07/13/2020, $0.7, 50747, $0.8, $0.8, $0.7
07/10/2020, $0.72, 32285, $0.67, $0.7499, $0.58
07/09/2020, $0.6, 6874, $0.66, $0.66, $0.597
07/08/2020, $0.69, 2634, $0.7, $0.7, $0.59
07/07/2020, $0.675, 59766, $0.6, $0.8793, $0.575
07/06/2020, $0.64, 82772, $0.6, $0.665, $0.5999
07/02/2020, $0.6199, 56345, $0.61, $0.62, $0.52
07/01/2020, $0.63, 88942, $0.69, $0.6999, $0.522
06/30/2020, $0.585, 100383, $0.6, $0.69, $0.5114
06/29/2020, $0.51, 92001, $0.49, $0.6125, $0.4879
06/26/2020, $0.49, 9100, $0.48, $0.5, $0.475
06/25/2020, $0.4779, 25202, $0.4976, $0.5, $0.465
06/24/2020, $0.5, 31705, $0.4313, $0.51, $0.4001
06/23/2020, $0.5, 19550, $0.4292, $0.52, $0.4
06/22/2020, $0.5025, 40779, $0.57, $0.6, $0.45
06/19/2020, $0.57, 17410, $0.55, $0.57, $0.5447
06/18/2020, $0.5001, 7593, $0.5, $0.55, $0.479
06/17/2020, $0.5, 86500, $0.5, $0.52, $0.33
06/16/2020, $0.5, 7100, $0.5, $0.5, $0.5
06/15/2020, $0.5, 6000, $0.5, $0.51, $0.3401
06/12/2020, $0.5, 41675, $0.45, $0.7, $0.45
06/11/2020, $0.42, N/A, $0.42, $0.42, $0.42
06/10/2020, $0.42, 1173200, $0.41, $0.44, $0.3201
06/09/2020, $0.4, 31198, $0.37, $0.4, $0.35
06/08/2020, $0.4399, 1381, $0.44, $0.44, $0.4399
06/05/2020, $0.42, N/A, $0.42, $0.42, $0.42
06/04/2020, $0.42, 3358, $0.44, $0.44, $0.42
06/03/2020, $0.43, 1062, $0.41, $0.43, $0.41
06/02/2020, $0.41, N/A, $0.41, $0.41, $0.41
06/01/2020, $0.41, 20300, $0.39, $0.41, $0.39
05/29/2020, $0.39, 200, $0.39, $0.39, $0.39
05/28/2020, $0.3884, 30400, $0.4, $0.4, $0.3884
05/27/2020, $0.39, N/A, $0.39, $0.39, $0.39
05/26/2020, $0.39, N/A, $0.39, $0.39, $0.39
05/22/2020, $0.39, N/A, $0.39, $0.39, $0.39
05/21/2020, $0.39, 4172, $0.38, $0.42, $0.3791
05/20/2020, $0.32, N/A, $0.32, $0.32, $0.32
05/19/2020, $0.32, 4300, $0.3, $0.32, $0.3
05/18/2020, $0.38, 1001, $0.38, $0.38, $0.38
05/15/2020, $0.3197, 22950, $0.31, $0.32, $0.31
05/14/2020, $0.3, N/A, $0.3, $0.3, $0.3
05/13/2020, $0.3, N/A, $0.3, $0.3, $0.3
05/12/2020, $0.3, N/A, $0.3, $0.3, $0.3
05/11/2020, $0.3, N/A, $0.3, $0.3, $0.3
