Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.07, 10222, $0.0601, $0.07, $0.0601
07/30/2020, $0.09, N/A, $0.09, $0.09, $0.09
07/29/2020, $0.09, N/A, $0.09, $0.09, $0.09
07/28/2020, $0.09, 53365, $0.0899, $0.09, $0.0899
07/27/2020, $0.08, 4701, $0.0999, $0.0999, $0.08
07/24/2020, $0.0649, 36750, $0.1199, $0.1199, $0.0649
07/23/2020, $0.0599, 13102, $0.0501, $0.0599, $0.0501
07/22/2020, $0.0599, 68319, $0.06, $0.06, $0.0499
07/21/2020, $0.0583, 100, $0.0583, $0.0583, $0.0583
07/20/2020, $0.06, 3684, $0.0501, $0.06, $0.0501
07/17/2020, $0.06, 58907, $0.06, $0.0611, $0.0566
07/16/2020, $0.06, 10000, $0.07, $0.07, $0.05
07/15/2020, $0.07, 7087, $0.07, $0.07, $0.07
07/14/2020, $0.0728, 373178, $0.0988, $0.1, $0.05
07/13/2020, $0.099, 91880, $0.05, $0.1199, $0.045
07/10/2020, $0.05, 111421, $0.0501, $0.07, $0.0401
07/09/2020, $0.0689, 22125, $0.0606, $0.0689, $0.0508
07/08/2020, $0.089, N/A, $0.089, $0.089, $0.089
07/07/2020, $0.089, 3600, $0.089, $0.089, $0.089
07/06/2020, $0.089, 100, $0.089, $0.089, $0.089
07/02/2020, $0.0915, 3225, $0.1, $0.1, $0.089
07/01/2020, $0.1, 13320, $0.089, $0.1, $0.089
06/30/2020, $0.0999, 7593, $0.1, $0.1, $0.0995
06/29/2020, $0.095, 1601, $0.1, $0.1, $0.095
06/26/2020, $0.09, 10607, $0.15, $0.15, $0.09
06/25/2020, $0.09, 70590, $0.12, $0.12, $0.09
06/24/2020, $0.1118, 67401, $0.11, $0.12, $0.1
06/23/2020, $0.12, 30684, $0.12, $0.14, $0.12
06/22/2020, $0.12, 71367, $0.14, $0.14, $0.0603
06/19/2020, $0.14, 10486, $0.14, $0.14, $0.13
06/18/2020, $0.14, 822251, $0.16, $0.215, $0.13
06/17/2020, $0.16, 47096, $0.209, $0.209, $0.1592
06/16/2020, $0.2062, 86960, $0.175, $0.21, $0.15
06/15/2020, $0.175, 5373, $0.273, $0.273, $0.175
06/12/2020, $0.21, 91984, $0.125, $0.3, $0.1
06/11/2020, $0.3, 35116, $0.3, $0.3, $0.29
06/10/2020, $0.38, 44000, $0.38, $0.38, $0.38
06/09/2020, $0.36, 47301, $0.36, $0.36, $0.3599
06/08/2020, $0.3527, 59991, $0.3, $0.3527, $0.26
06/05/2020, $0.2851, 27461, $0.25, $0.325, $0.25
06/04/2020, $0.29, 1158, $0.235, $0.29, $0.235
06/03/2020, $0.298, 415, $0.2466, $0.298, $0.2466
06/02/2020, $0.25, 20187, $0.2, $0.25, $0.2
06/01/2020, $0.25, N/A, $0.25, $0.25, $0.25
05/29/2020, $0.25, 794, $0.28, $0.28, $0.25
05/28/2020, $0.2879, 75972, $0.2, $0.2879, $0.2
05/27/2020, $0.22, N/A, $0.22, $0.22, $0.22
05/26/2020, $0.22, 17997, $0.154, $0.22, $0.154
05/22/2020, $0.22, 100, $0.22, $0.22, $0.22
05/21/2020, $0.22, N/A, $0.22, $0.22, $0.22
05/20/2020, $0.22, 100, $0.22, $0.22, $0.22
05/19/2020, $0.22, N/A, $0.22, $0.22, $0.22
05/18/2020, $0.22, 42915, $0.18, $0.22, $0.15
05/15/2020, $0.2167, N/A, $0.2167, $0.2167, $0.2167
05/14/2020, $0.2167, 23337, $0.22, $0.22, $0.17
05/13/2020, $0.2192, N/A, $0.2192, $0.2192, $0.2192
05/12/2020, $0.2192, 500, $0.187, $0.22, $0.154
05/11/2020, $0.22, 890, $0.22, $0.22, $0.22
