Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.14, 52741, $2.22, $2.3399, $2.12
07/30/2020, $2.2335, 71519, $2.23, $2.2999, $2.14
07/29/2020, $2.23, 65761, $2.15, $2.25, $2.15
07/28/2020, $2.16, 53899, $2.22, $2.33, $2.14
07/27/2020, $2.21, 36966, $2.27, $2.315, $2.19
07/24/2020, $2.27, 40134, $2.36, $2.37, $2.2201
07/23/2020, $2.37, 45494, $2.42, $2.47, $2.35
07/22/2020, $2.43, 28113, $2.41, $2.46, $2.35
07/21/2020, $2.42, 116969, $2.5, $2.55, $2.27
07/20/2020, $2.45, 87932, $2.49, $2.55, $2.44
07/17/2020, $2.42, 103982, $2.4, $2.49, $2.27
07/16/2020, $2.34, 82177, $2.23, $2.34, $2.2
07/15/2020, $2.26, 95329, $2.35, $2.38, $2.21
07/14/2020, $2.34, 139934, $2.19, $2.38, $2.05
07/13/2020, $2.21, 58128, $2.26, $2.3892, $2.18
07/10/2020, $2.19, 48319, $2.29, $2.3199, $2.1589
07/09/2020, $2.29, 55939, $2.34, $2.37, $2.21
07/08/2020, $2.3, 177741, $2.4, $2.44, $2.18
07/07/2020, $2.41, 144862, $2.53, $2.59, $2.395
07/06/2020, $2.57, 338854, $2.55, $2.73, $2.44
07/02/2020, $2.585, 131682, $2.49, $2.65, $2.36
07/01/2020, $2.39, 64193, $2.52, $2.69, $2.361
06/30/2020, $2.42, 74540, $2.73, $2.766, $2.42
06/29/2020, $2.68, 37775, $2.83, $2.855, $2.66
06/26/2020, $2.88, 95983, $2.8, $2.95, $2.56
06/25/2020, $2.83, 42517, $2.84, $2.91, $2.82
06/24/2020, $2.86, 127800, $3.12, $3.12, $2.7
06/23/2020, $3.05, 241720, $2.92, $3.1, $2.88
06/22/2020, $2.87, 49259, $3.02, $3.02, $2.8601
06/19/2020, $2.97, 26546, $2.98, $3.05, $2.92
06/18/2020, $2.94, 31038, $2.88, $3.06, $2.88
06/17/2020, $2.91, 40060, $3.1, $3.1, $2.9
06/16/2020, $3.04, 34286, $3.27, $3.27, $3.01
06/15/2020, $3.02, 66223, $3.15, $3.15, $2.81
06/12/2020, $3.055, 42801, $3.1, $3.27, $3.05
06/11/2020, $3.07, 172078, $3.51, $3.51, $2.78
06/10/2020, $3.74, 362798, $3.8, $4.59, $3.56
06/09/2020, $3.74, 303602, $3.1, $3.74, $3
06/08/2020, $3.05, 67268, $3.04, $3.18, $2.9401
06/05/2020, $2.97, 67121, $3.07, $3.1, $2.8801
06/04/2020, $3.09, 191180, $3.17, $3.17, $2.74
06/03/2020, $3.19, 17800, $3.19, $3.24, $3.17
06/02/2020, $3.17, 46806, $3.51, $3.605, $3.17
06/01/2020, $3.56, 60682, $3.85, $3.9123, $3.46
05/29/2020, $3.9, 50677, $4.12, $4.12, $3.8
05/28/2020, $4.03, 618577, $4.06, $5.94, $4.02
05/27/2020, $3.95, 53321, $3.999, $3.999, $3.6
05/26/2020, $3.604, 27113, $4, $4, $3.501
05/22/2020, $4, 23183, $4.01, $4.3, $3.8
05/21/2020, $4.098, 15458, $4.01, $4.3, $4.01
05/20/2020, $4.12, 13575, $4.3, $4.355, $3.7
05/19/2020, $4.329, 5405, $4.4, $4.402, $4.25
05/18/2020, $4.4, 9799, $4.35, $4.9, $4.26
05/15/2020, $4.5, 5350, $4.28, $4.54, $4.1
05/14/2020, $4.2, 8469, $4.35, $4.55, $4.011
05/13/2020, $4.3, 12599, $4.6, $4.74, $4.211
05/12/2020, $4.66, 11601, $4.66, $4.7515, $4.45
05/11/2020, $4.65, 14556, $4.6, $5, $4.501
