Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.92, 840426, $0.91, $0.94, $0.87
07/30/2020, $0.91, 1580131, $0.947, $0.947, $0.86
07/29/2020, $0.9167, 4298974, $1.02, $1.02, $0.8602
07/28/2020, $0.9939, 9737200, $0.94, $1.08, $0.9
07/27/2020, $0.9354, 716938, $0.93, $0.96, $0.9156
07/24/2020, $0.91, 671824, $0.86, $0.9333, $0.84
07/23/2020, $0.878, 1444252, $0.93, $0.95, $0.85
07/22/2020, $0.9414, 990601, $0.9875, $0.9875, $0.92
07/21/2020, $0.9584, 2232353, $0.91, $0.9584, $0.88
07/20/2020, $0.89, 2614289, $0.875, $0.92, $0.84
07/17/2020, $0.8231, 1410919, $0.8, $0.9, $0.78
07/16/2020, $0.7883, 420148, $0.765, $0.8099, $0.7601
07/15/2020, $0.7667, 695384, $0.8, $0.8, $0.7623
07/14/2020, $0.7804, 876359, $0.79, $0.8, $0.76
07/13/2020, $0.808, 732937, $0.805, $0.8479, $0.78
07/10/2020, $0.82, 731461, $0.7675, $0.8299, $0.7502
07/09/2020, $0.77, 747358, $0.78, $0.8047, $0.75
07/08/2020, $0.815, 703461, $0.82, $0.825, $0.76
07/07/2020, $0.83, 624843, $0.84, $0.875, $0.811
07/06/2020, $0.84, 1364076, $0.92, $0.9446, $0.82
07/02/2020, $0.8939, 1713506, $0.88, $0.9198, $0.879
07/01/2020, $0.874, 7023640, $0.85, $1.03, $0.845
06/30/2020, $0.835, 1024631, $0.8, $0.87, $0.7602
06/29/2020, $0.805, 1131757, $0.8571, $0.8649, $0.7503
06/26/2020, $0.846, 1093555, $0.8979, $0.91, $0.84
06/25/2020, $0.8902, 1250239, $0.85, $0.9896, $0.85
06/24/2020, $0.86, 2431257, $0.95, $0.9501, $0.8082
06/23/2020, $0.9302, 3217208, $1.06, $1.0776, $0.91
06/22/2020, $1.07, 1749895, $1.14, $1.14, $1.05
06/19/2020, $1.11, 1963902, $1.13, $1.15, $1.07
06/18/2020, $1.11, 1529102, $1.1, $1.15, $1.08
06/17/2020, $1.09, 2616921, $1.19, $1.25, $1.08
06/16/2020, $1.18, 5446764, $1.16, $1.3, $1.11
06/15/2020, $1.14, 2803570, $1.12, $1.23, $1.05
06/12/2020, $1.14, 1661199, $1.26, $1.27, $1.13
06/11/2020, $1.14, 3210428, $1.1, $1.25, $1.05
06/10/2020, $1.23, 5080136, $1.34, $1.45, $1.19
06/09/2020, $1.25, 26807600, $1.39, $1.75, $1.2
06/08/2020, $1.27, 14851840, $1.08, $1.4, $1.04
06/05/2020, $1.04, 16330910, $1.28, $1.44, $1
06/04/2020, $1.57, 91459990, $0.68, $1.57, $0.575
06/03/2020, $0.2769, 1459082, $0.277, $0.29, $0.262
06/02/2020, $0.2778, 1051531, $0.295, $0.295, $0.2653
06/01/2020, $0.29, 2505571, $0.267, $0.2931, $0.26
05/29/2020, $0.2668, 441101, $0.27, $0.2799, $0.265
05/28/2020, $0.27, 825419, $0.27, $0.285, $0.2692
05/27/2020, $0.2831, 2973555, $0.31, $0.314, $0.2612
05/26/2020, $0.32, 1014724, $0.3323, $0.3323, $0.3122
05/22/2020, $0.3151, 1374346, $0.311, $0.329, $0.295
05/21/2020, $0.302, 1304123, $0.315, $0.3195, $0.2917
05/20/2020, $0.2885, 2006930, $0.3, $0.3323, $0.285
05/19/2020, $0.2998, 8835642, $0.285, $0.343, $0.2624
05/18/2020, $0.2751, 1465392, $0.278, $0.298, $0.27
05/15/2020, $0.2751, 876715, $0.278, $0.298, $0.27
05/14/2020, $0.2715, 1250540, $0.29, $0.29, $0.2669
05/13/2020, $0.3, 3504209, $0.31, $0.311, $0.2601
05/12/2020, $0.29, 7645608, $0.2651, $0.3298, $0.2501
05/11/2020, $0.26, 814215, $0.25, $0.2699, $0.248
