Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.1931, 3265, $0.1901, $0.1931, $0.1901
07/30/2020, $0.245, N/A, $0.245, $0.245, $0.245
07/29/2020, $0.245, 2846, $0.1815, $0.245, $0.1815
07/28/2020, $0.264, N/A, $0.264, $0.264, $0.264
07/27/2020, $0.264, N/A, $0.264, $0.264, $0.264
07/24/2020, $0.264, 4021, $0.26, $0.264, $0.26
07/23/2020, $0.2663, 7086, $0.1836, $0.2663, $0.1836
07/22/2020, $0.2698, N/A, $0.2698, $0.2698, $0.2698
07/21/2020, $0.2698, 2172, $0.1821, $0.27, $0.1821
07/20/2020, $0.27, N/A, $0.27, $0.27, $0.27
07/17/2020, $0.27, 1373, $0.25, $0.27, $0.25
07/16/2020, $0.25, 1173, $0.24, $0.25, $0.24
07/15/2020, $0.2301, 2125, $0.28, $0.28, $0.2301
07/14/2020, $0.2221, 145, $0.2221, $0.2221, $0.2221
07/13/2020, $0.2204, 11995, $0.2999, $0.2999, $0.2
07/10/2020, $0.232, 3415, $0.232, $0.26, $0.22
07/09/2020, $0.24, 2641, $0.28, $0.28, $0.232
07/08/2020, $0.2798, 4753, $0.24, $0.3392, $0.24
07/07/2020, $0.238, 51622, $0.29, $0.37, $0.2369
07/06/2020, $0.2404, 9451, $0.29, $0.377, $0.2321
07/02/2020, $0.29, 8929, $0.28, $0.38, $0.2327
07/01/2020, $0.2999, 100, $0.2999, $0.2999, $0.2999
06/30/2020, $0.3, 29687, $0.34, $0.3644, $0.3
06/29/2020, $0.34, 17758, $0.25, $0.3797, $0.232
06/26/2020, $0.35, 3214, $0.35, $0.35, $0.2281
06/25/2020, $0.34, 24995, $0.4788, $0.4788, $0.3
06/24/2020, $0.25, 13331, $0.34, $0.442, $0.22
06/23/2020, $0.23, 21698, $0.2534, $0.31, $0.2
06/22/2020, $0.2534, 25956, $0.1802, $0.261, $0.1802
06/19/2020, $0.18, 49989, $0.2052, $0.2499, $0.1752
06/18/2020, $0.2051, 11078, $0.2499, $0.2499, $0.2
06/17/2020, $0.2478, 43106, $0.2499, $0.2499, $0.1601
06/16/2020, $0.1701, 12862, $0.1701, $0.2499, $0.1701
06/15/2020, $0.1602, 5913, $0.1501, $0.1999, $0.1501
06/12/2020, $0.2, 29124, $0.23, $0.23, $0.1284
06/11/2020, $0.2393, 41118, $0.1925, $0.2499, $0.1925
06/10/2020, $0.17, 21154, $0.18, $0.1801, $0.1699
06/09/2020, $0.1758, 1075, $0.1758, $0.1758, $0.1758
06/08/2020, $0.159, N/A, $0.159, $0.159, $0.159
06/05/2020, $0.159, 343, $0.159, $0.159, $0.159
06/04/2020, $0.1501, 621, $0.15, $0.1501, $0.15
06/03/2020, $0.15, N/A, $0.15, $0.15, $0.15
06/02/2020, $0.15, 329, $0.15, $0.15, $0.15
06/01/2020, $0.175, N/A, $0.175, $0.175, $0.175
05/29/2020, $0.175, 2305, $0.19, $0.19, $0.15
05/28/2020, $0.15, 3041, $0.15, $0.1799, $0.15
05/27/2020, $0.1625, 1117, $0.165, $0.165, $0.1625
05/26/2020, $0.1799, 13889, $0.18, $0.18, $0.1251
05/22/2020, $0.18, 4131, $0.18, $0.182, $0.18
05/21/2020, $0.14, N/A, $0.14, $0.14, $0.14
05/20/2020, $0.14, 8317, $0.1279, $0.14, $0.1279
05/19/2020, $0.1279, 13180, $0.1201, $0.1287, $0.1201
05/18/2020, $0.1287, 1234, $0.1201, $0.1287, $0.1201
05/15/2020, $0.1256, 300, $0.12, $0.1256, $0.12
05/14/2020, $0.1201, 17776, $0.1201, $0.1498, $0.12
05/13/2020, $0.1201, 8560, $0.12, $0.1201, $0.12
05/12/2020, $0.1201, 2615, $0.1201, $0.1201, $0.12
05/11/2020, $0.13, 21712, $0.1201, $0.1499, $0.12
