Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.02, 1068340, $1, $1.05, $0.99
07/30/2020, $1.07, 194772, $1.02, $1.09, $1.02
07/29/2020, $1.1, 86265, $1.12, $1.13, $1.1
07/28/2020, $1.13, 325229, $1.05, $1.15, $1.03
07/27/2020, $1.05, 266742, $1.1, $1.1, $1.01
07/24/2020, $1.08, 494098, $1.07, $1.08, $1
07/23/2020, $1.09, 318162, $1.11, $1.1399, $1.09
07/22/2020, $1.1, 445999, $1.09, $1.15, $1.09
07/21/2020, $1.17, 289371, $1.2, $1.23, $1.17
07/20/2020, $1.21, 250755, $1.23, $1.27, $1.21
07/17/2020, $1.23, 371009, $1.29, $1.3, $1.22
07/16/2020, $1.29, 179178, $1.33, $1.33, $1.27
07/15/2020, $1.33, 286770, $1.34, $1.36, $1.28
07/14/2020, $1.29, 405619, $1.35, $1.35, $1.24
07/13/2020, $1.28, 623980, $1.41, $1.43, $1.26
07/10/2020, $1.37, 368161, $1.35, $1.43, $1.32
07/09/2020, $1.36, 688597, $1.27, $1.4, $1.263
07/08/2020, $1.25, 1717413, $1.35, $1.43, $1.17
07/07/2020, $1.38, 296112, $1.42, $1.42, $1.35
07/06/2020, $1.43, 920974, $1.43, $1.48, $1.38
07/02/2020, $1.38, 883912, $1.35, $1.4399, $1.25
07/01/2020, $1.33, 489721, $1.23, $1.35, $1.23
06/30/2020, $1.23, 522156, $1.21, $1.32, $1.18
06/29/2020, $1.19, 336913, $1.18, $1.25, $1.17
06/26/2020, $1.19, 1101086, $1.25, $1.25, $1.15
06/25/2020, $1.35, 1131964, $1.26, $1.48, $1.25
06/24/2020, $1.295, 2719137, $1.18, $1.39, $1.1
06/23/2020, $1.18, 2276275, $1.11, $1.28, $1.09
06/22/2020, $1.06, 463180, $1.1, $1.111, $1.06
06/19/2020, $1.1, 375268, $1.06, $1.12, $1.05
06/18/2020, $1.045, 324821, $1.03, $1.0999, $1.03
06/17/2020, $1.03, 443826, $1.07, $1.09, $1.03
06/16/2020, $1.08, 989343, $1.15, $1.15, $1.03
06/15/2020, $1.1399, 1353461, $1.1, $1.18, $1.05
06/12/2020, $1.12, 2914430, $1.02, $1.19, $1.01
06/11/2020, $0.9812, 738737, $0.99, $1.02, $0.98
06/10/2020, $1.08, 2419348, $1.05, $1.18, $0.97
06/09/2020, $1.15, 1320320, $1.16, $1.16, $1.11
06/08/2020, $1.29, 1208628, $1.17, $1.36, $1.1362
06/05/2020, $1.12, 2621392, $1.02, $1.25, $1
06/04/2020, $1.04, 447062, $1.03, $1.1, $1
06/03/2020, $1.04, 739144, $0.946, $1.06, $0.93
06/02/2020, $0.9361, 272299, $0.92, $0.9727, $0.9012
06/01/2020, $0.9174, 592695, $0.95, $0.99, $0.9
05/29/2020, $0.9989, 1414016, $1.11, $1.23, $0.9499
05/28/2020, $1.1, 3249808, $0.89, $1.27, $0.827
05/27/2020, $0.8576, 1082460, $0.93, $0.93, $0.78
05/26/2020, $0.8, 412253, $0.77, $0.8605, $0.7633
05/22/2020, $0.7594, 157998, $0.78, $0.8001, $0.75
05/21/2020, $0.785, 148770, $0.8064, $0.81, $0.7802
05/20/2020, $0.81, 234698, $0.7875, $0.8199, $0.7875
05/19/2020, $0.775, 141362, $0.797, $0.8, $0.77
05/18/2020, $0.8, 77867, $0.76, $0.8, $0.76
05/15/2020, $0.78, 57026, $0.7788, $0.7894, $0.75
05/14/2020, $0.78, 127333, $0.76, $0.8, $0.753
05/13/2020, $0.78, 173358, $0.7711, $0.7999, $0.76
05/12/2020, $0.7713, 125752, $0.7951, $0.8, $0.77
05/11/2020, $0.8, 132570, $0.78, $0.81, $0.76
