Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.24, 33468, $2.25, $2.285, $2.23
07/30/2020, $2.2, 17402, $2.33, $2.3404, $2.2
07/29/2020, $2.33, 5785, $2.34, $2.41, $2.31
07/28/2020, $2.45, 24217, $2.25, $2.45, $2.2359
07/27/2020, $2.2101, 58335, $2.35, $2.3884, $2.08
07/24/2020, $2.4, 2582, $2.45, $2.4971, $2.4
07/23/2020, $2.41, 19873, $2.46, $2.46, $2.32
07/22/2020, $2.4, 32321, $2.43, $2.43, $2.29
07/21/2020, $2.48, 17210, $2.5, $2.605, $2.4581
07/20/2020, $2.505, 27272, $2.6, $2.66, $2.5
07/17/2020, $2.65, 19131, $2.68, $2.68, $2.5
07/16/2020, $2.68, 10053, $2.8304, $2.8304, $2.61
07/15/2020, $2.83, 7320, $2.61, $2.83, $2.61
07/14/2020, $2.64, 5831, $2.62, $2.64, $2.5539
07/13/2020, $2.56, 34935, $2.7, $2.72, $2.41
07/10/2020, $2.7, 8861, $2.69, $2.7195, $2.68
07/09/2020, $2.69, 11680, $2.737, $2.74, $2.69
07/08/2020, $2.68, 20861, $3.04, $3.04, $2.56
07/07/2020, $2.9, 6354, $3.07, $3.08, $2.9
07/06/2020, $3.07, 21316, $3.12, $3.14, $2.99
07/02/2020, $3.12, 20497, $3.13, $3.13, $2.98
07/01/2020, $3.14, 2928, $3.03, $3.14, $3.03
06/30/2020, $3.08, 7003, $3.16, $3.17, $3.02
06/29/2020, $3.1, 20374, $2.92, $3.225, $2.92
06/26/2020, $3.04, 45809, $3.02, $3.0586, $3.005
06/25/2020, $3.08, 27201, $3.02, $3.1, $3.02
06/24/2020, $3.06, 67068, $3.18, $3.19, $3.0101
06/23/2020, $3.27, 52050, $3.25, $3.29, $3.1301
06/22/2020, $3.31, 29459, $3.29, $3.33, $3.155
06/19/2020, $3.29, 56992, $3.24, $3.2973, $3.1842
06/18/2020, $3.26, 62105, $3.26, $3.3499, $3.2
06/17/2020, $3.35, 24057, $3.5, $3.5, $3.32
06/16/2020, $3.5, 21571, $3.44, $3.7, $3.44
06/15/2020, $3.44, 51283, $3.12, $3.75, $2.96
06/12/2020, $3.24, 35590, $3.35, $3.38, $3.1344
06/11/2020, $3.25, 60917, $3.44, $3.44, $3.1331
06/10/2020, $3.6, 81740, $3.4, $3.74, $3.35
06/09/2020, $3.3, 165800, $3.51, $3.69, $2.9401
06/08/2020, $3.75, 174236, $3.1, $3.8, $3.06
06/05/2020, $2.9437, 85631, $2.84, $3.035, $2.84
06/04/2020, $2.72, 103415, $2.46, $2.77, $2.4201
06/03/2020, $2.45, 69786, $2.13, $2.45, $2.0995
06/02/2020, $2.17, 57585, $2.13, $2.18, $2.03
06/01/2020, $2.15, 15771, $2.17, $2.17, $2.1
05/29/2020, $2.13, 35857, $2.15, $2.25, $2.1
05/28/2020, $2.2, 45417, $2.18, $2.25, $2.13
05/27/2020, $2.15, 58308, $1.98, $2.15, $1.98
05/26/2020, $1.97, 105823, $1.91, $2.03, $1.87
05/22/2020, $1.92, 35399, $1.93, $1.95, $1.839
05/21/2020, $1.9, 17501, $1.92, $1.98, $1.85
05/20/2020, $1.93, 83802, $1.91, $1.97, $1.81
05/19/2020, $1.91, 32055, $1.93, $1.95, $1.88
05/18/2020, $1.915, 60846, $1.9, $1.98, $1.87
05/15/2020, $1.88, 50357, $1.86, $1.9699, $1.83
05/14/2020, $1.93, 36476, $1.86, $1.93, $1.84
05/13/2020, $1.92, 39086, $1.96, $1.98, $1.85
05/12/2020, $1.95, 32705, $2, $2.06, $1.921
05/11/2020, $2.02, 34203, $2, $2.095, $2
