Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.82, 250140, $1.83, $1.83, $1.725
07/30/2020, $1.85, 375114, $1.77, $1.8701, $1.76
07/29/2020, $1.8, 807618, $1.61, $1.8, $1.57
07/28/2020, $1.65, 161565, $1.62, $1.68, $1.61
07/27/2020, $1.64, 267548, $1.67, $1.69, $1.61
07/24/2020, $1.67, 496233, $1.68, $1.79, $1.61
07/23/2020, $1.68, 246414, $1.7, $1.75, $1.66
07/22/2020, $1.7, 243827, $1.74, $1.76, $1.66
07/21/2020, $1.73, 240732, $1.76, $1.78, $1.72
07/20/2020, $1.77, 280863, $1.78, $1.79, $1.71
07/17/2020, $1.78, 329290, $1.82, $1.82, $1.72
07/16/2020, $1.8, 164402, $1.83, $1.83, $1.77
07/15/2020, $1.83, 415276, $1.78, $1.83, $1.75
07/14/2020, $1.74, 461797, $1.78, $1.78, $1.67
07/13/2020, $1.78, 880914, $1.86, $1.95, $1.76
07/10/2020, $1.86, 206683, $1.84, $1.88, $1.81
07/09/2020, $1.85, 156175, $1.9, $1.92, $1.78
07/08/2020, $1.89, 269534, $1.86, $1.91, $1.82
07/07/2020, $1.89, 343214, $1.87, $1.92, $1.78
07/06/2020, $1.87, 500852, $1.94, $1.96, $1.87
07/02/2020, $1.94, 251549, $1.95, $2, $1.91
07/01/2020, $1.94, 313968, $1.92, $1.9652, $1.88
06/30/2020, $1.97, 294055, $1.97, $1.98, $1.9
06/29/2020, $1.98, 217075, $1.91, $1.99, $1.88
06/26/2020, $1.93, 398466, $2.01, $2.03, $1.873
06/25/2020, $1.97, 319208, $1.99, $2.0301, $1.92
06/24/2020, $2.01, 294698, $2.05, $2.05, $1.9421
06/23/2020, $2.08, 249503, $2.1, $2.13, $2.06
06/22/2020, $2.06, 392537, $2.09, $2.18, $2.03
06/19/2020, $2.1, 307918, $2.24, $2.24, $2.07
06/18/2020, $2.18, 253772, $2.11, $2.25, $2.1
06/17/2020, $2.12, 306609, $2.18, $2.2039, $2.1
06/16/2020, $2.19, 436506, $2.25, $2.26, $2.1
06/15/2020, $2.13, 436299, $2.04, $2.15, $2.02
06/12/2020, $2.11, 564971, $2.1, $2.14, $1.98
06/11/2020, $1.92, 1061067, $2.08, $2.2, $1.92
06/10/2020, $2.37, 491334, $2.56, $2.56, $2.29
06/09/2020, $2.56, 645130, $2.65, $2.65, $2.4142
06/08/2020, $2.7, 974964, $2.75, $2.89, $2.55
06/05/2020, $2.51, 1288841, $2.39, $2.69, $2.35
06/04/2020, $2.32, 823423, $2.29, $2.34, $2.21
06/03/2020, $2.28, 667075, $2.2, $2.32, $2.15
06/02/2020, $2.2, 485656, $2.16, $2.24, $2.1201
06/01/2020, $2.11, 523265, $2.13, $2.18, $2.06
05/29/2020, $2.1, 315109, $2.13, $2.13, $2
05/28/2020, $2.14, 717800, $2.08, $2.3, $2.05
05/27/2020, $2.07, 757519, $2.2, $2.2, $2
05/26/2020, $1.98, 696441, $1.89, $2, $1.86
05/22/2020, $1.85, 301752, $1.86, $1.89, $1.8
05/21/2020, $1.85, 449277, $1.804, $1.9, $1.8
05/20/2020, $1.87, 1367092, $1.73, $1.9192, $1.66
05/19/2020, $1.66, 537195, $1.66, $1.74, $1.55
05/18/2020, $1.66, 1039338, $1.6, $1.72, $1.53
05/15/2020, $1.45, 309872, $1.51, $1.51, $1.4
05/14/2020, $1.49, 245299, $1.5, $1.55, $1.41
05/13/2020, $1.55, 521512, $1.58, $1.6, $1.35
05/12/2020, $1.59, 409119, $1.68, $1.685, $1.56
05/11/2020, $1.68, 296233, $1.73, $1.7301, $1.63
