Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.32, 6890642, $2.25, $2.37, $2.22
07/30/2020, $2.23, 4064046, $2.21, $2.26, $2.16
07/29/2020, $2.23, 5917413, $2.3, $2.33, $2.13
07/28/2020, $2.27, 8211384, $2.21, $2.39, $2.175
07/27/2020, $2.15, 7443507, $2.04, $2.22, $2.02
07/24/2020, $1.98, 2142059, $1.93, $2, $1.86
07/23/2020, $1.93, 2940673, $1.99, $2.03, $1.9
07/22/2020, $1.99, 5197724, $2.07, $2.08, $1.64
07/21/2020, $2.04, 4746439, $2.12, $2.2, $2
07/20/2020, $1.98, 10191330, $1.92, $2.12, $1.86
07/17/2020, $1.84, 2897448, $1.845, $1.92, $1.8
07/16/2020, $1.85, 3726937, $1.86, $1.9, $1.79
07/15/2020, $1.85, 9692818, $1.75, $1.93, $1.69
07/14/2020, $1.7, 2737363, $1.61, $1.71, $1.59
07/13/2020, $1.59, 5944988, $1.62, $1.75, $1.59
07/10/2020, $1.6, 1560805, $1.63, $1.66, $1.57
07/09/2020, $1.62, 2172821, $1.62, $1.63, $1.57
07/08/2020, $1.61, 2122443, $1.64, $1.67, $1.59
07/07/2020, $1.63, 3323714, $1.72, $1.72, $1.58
07/06/2020, $1.72, 7108494, $1.57, $1.78, $1.56
07/02/2020, $1.53, 2079599, $1.61, $1.62, $1.5099
07/01/2020, $1.58, 2372095, $1.52, $1.62, $1.52
06/30/2020, $1.5, 2006301, $1.52, $1.575, $1.5
06/29/2020, $1.52, 4370055, $1.6, $1.61, $1.34
06/26/2020, $1.57, 4756433, $1.74, $1.75, $1.57
06/25/2020, $1.72, 2137714, $1.76, $1.77, $1.69
06/24/2020, $1.75, 3436115, $1.75, $1.8, $1.68
06/23/2020, $1.75, 7190028, $1.75, $1.905, $1.7
06/22/2020, $1.66, 3223692, $1.57, $1.68, $1.5408
06/19/2020, $1.55, 4166364, $1.6, $1.67, $1.55
06/18/2020, $1.6, 6785846, $1.43, $1.65, $1.42
06/17/2020, $1.41, 2081226, $1.39, $1.4267, $1.37
06/16/2020, $1.39, 1535239, $1.36, $1.39, $1.32
06/15/2020, $1.33, 6269340, $1.28, $1.5, $1.25
06/12/2020, $1.27, 1254791, $1.29, $1.33, $1.24
06/11/2020, $1.27, 2539559, $1.29, $1.31, $1.24
06/10/2020, $1.34, 1700965, $1.4, $1.4, $1.32
06/09/2020, $1.38, 2550768, $1.32, $1.39, $1.28
06/08/2020, $1.32, 2210314, $1.31, $1.32, $1.24
06/05/2020, $1.31, 1943465, $1.34, $1.345, $1.26
06/04/2020, $1.33, 2455291, $1.28, $1.33, $1.22
06/03/2020, $1.31, 2446457, $1.41, $1.43, $1.29
06/02/2020, $1.37, 3760733, $1.47, $1.51, $1.335
06/01/2020, $1.33, 1121779, $1.34, $1.34, $1.28
05/29/2020, $1.3, 2199534, $1.3, $1.32, $1.2
05/28/2020, $1.32, 2730870, $1.4, $1.45, $1.31
05/27/2020, $1.39, 3506421, $1.46, $1.52, $1.36
05/26/2020, $1.4, 2745065, $1.4, $1.45, $1.36
05/22/2020, $1.34, 1697860, $1.26, $1.36, $1.25
05/21/2020, $1.28, 1721396, $1.3, $1.32, $1.2
05/20/2020, $1.24, 3466412, $1.36, $1.38, $1.12
05/19/2020, $1.32, 10738450, $1.25, $1.5, $1.21
05/18/2020, $1.19, 3836731, $1.12, $1.21, $1.1
05/15/2020, $1.05, 1521974, $1.02, $1.07, $1.01
05/14/2020, $1.03, 1073591, $1.05, $1.05, $1
05/13/2020, $1.05, 2843578, $1.11, $1.14, $1
05/12/2020, $1.09, 3402160, $1.19, $1.19, $1
05/11/2020, $1, 4518519, $0.95, $1.12, $0.944
