Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.88, 154, $4.88, $4.88, $4.88
07/30/2020, $4.76, 6213, $4.51, $4.94, $4.5008
07/29/2020, $4.62, 2027, $4.6807, $4.6807, $4.37
07/28/2020, $4.6899, 2489, $4.58, $4.7, $4.58
07/27/2020, $4.32, 431, $4.3391, $4.3391, $4.3
07/24/2020, $4.1761, 2729, $4.27, $4.27, $4.1761
07/23/2020, $4.33, 7233, $4.3315, $4.6, $4.3101
07/22/2020, $4.3689, 16961, $4.13, $4.53, $4.13
07/21/2020, $4.14, 1088, $4.02, $4.14, $4.02
07/20/2020, $4.0968, 3486, $4.09, $4.1399, $4.01
07/17/2020, $4.05, N/A, $4.05, $4.05, $4.05
07/16/2020, $4.05, 1854, $3.93, $4.06, $3.85
07/15/2020, $3.85, 9083, $3.95, $4.05, $3.85
07/14/2020, $3.83, 4575, $3.8, $4, $3.78
07/13/2020, $3.829, 4784, $4.145, $4.145, $3.829
07/10/2020, $3.95, 2481, $3.94, $4.09, $3.94
07/09/2020, $4, 3261, $4.145, $4.22, $4
07/08/2020, $4, 11804, $3.98, $4.18, $3.875
07/07/2020, $3.9193, 7538, $4.13, $4.2, $3.75
07/06/2020, $4.18, 12840, $4.57, $4.7883, $4.01
07/02/2020, $4.66, 36682, $5.13, $5.85, $4.5
07/01/2020, $4.91, 3147, $4.3, $4.93, $4.27
06/30/2020, $4.75, 15073, $4.06, $4.82, $4.06
06/29/2020, $4.66, 24646, $4.57, $4.66, $4.15
06/26/2020, $4.71, 350127, $5.22, $6.69, $4.56
06/25/2020, $4.75, 75648, $4.06, $4.82, $3.94
06/24/2020, $3.91, 6053, $4.07, $4.07, $3.8006
06/23/2020, $3.9281, 1629, $4.0519, $4.0519, $3.9
06/22/2020, $4.12, 7564, $3.95, $4.125, $3.8001
06/19/2020, $3.92, 16284, $3.7, $3.98, $3.7
06/18/2020, $3.835, 20121, $3.79, $4.2, $3.66
06/17/2020, $3.9373, 82596, $4.49, $4.93, $3.86
06/16/2020, $3.9903, 53392, $3.805, $4.3, $3.79
06/15/2020, $3.77, 7002, $3.99, $4.256, $3.77
06/12/2020, $4.15, 1602, $4.24, $4.24, $3.82
06/11/2020, $4.2294, 43949, $3.9462, $4.89, $3.7
06/10/2020, $3.95, 4664, $4, $4.1, $3.85
06/09/2020, $4.05, 6721, $3.78, $4.124, $3.78
06/08/2020, $4, 14801, $3.7, $4.07, $3.7
06/05/2020, $3.56, 10214, $3.6, $3.6001, $3.52
06/04/2020, $3.74, 2143, $3.74, $3.74, $3.59
06/03/2020, $3.47, 10135, $3.8, $3.8, $3.41
06/02/2020, $3.78, 15904, $3.49, $3.789, $3.3
06/01/2020, $3.5, 24644, $3.359, $3.8186, $3.26
05/29/2020, $3.3573, N/A, $3.3573, $3.3573, $3.3573
05/28/2020, $3.3573, N/A, $3.3573, $3.3573, $3.3573
05/27/2020, $3.3573, N/A, $3.3573, $3.3573, $3.3573
05/26/2020, $3.3573, 365, $3.3573, $3.3573, $3.3573
05/22/2020, $3.3519, N/A, $3.3519, $3.3519, $3.3519
05/21/2020, $3.3519, N/A, $3.3519, $3.3519, $3.3519
05/20/2020, $3.3519, 1935, $3.545, $3.545, $3.07
05/19/2020, $3.67, 305, $3.75, $3.75, $3.67
05/18/2020, $3.5367, 1109, $3.45, $3.5367, $3.39
05/15/2020, $3.387, N/A, $3.387, $3.387, $3.387
05/14/2020, $3.387, 1030, $3.5, $3.5, $3.387
05/13/2020, $3.5005, 757, $3.56, $3.56, $3.37
05/12/2020, $3.4, 602, $3.4, $3.4, $3.4
05/11/2020, $3.33, 1627, $3.69, $3.6973, $3.32
