Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.291, 3262350, $0.299, $0.3, $0.286
07/30/2020, $0.297, 2704025, $0.3008, $0.3008, $0.292
07/29/2020, $0.3045, 3832356, $0.3089, $0.3089, $0.2942
07/28/2020, $0.3085, 3718788, $0.313, $0.3195, $0.302
07/27/2020, $0.3153, 6228201, $0.315, $0.339, $0.3115
07/24/2020, $0.3115, 3237195, $0.31, $0.3197, $0.302
07/23/2020, $0.3197, 5412978, $0.33, $0.331, $0.31
07/22/2020, $0.344, 10810740, $0.3577, $0.36, $0.3141
07/21/2020, $0.3595, 23675600, $0.34, $0.36, $0.3
07/20/2020, $0.3127, 8974512, $0.2952, $0.32, $0.291
07/17/2020, $0.2918, 3749527, $0.3, $0.3, $0.29
07/16/2020, $0.301, 7146503, $0.286, $0.3055, $0.285
07/15/2020, $0.287, 2725560, $0.2818, $0.2887, $0.278
07/14/2020, $0.28, 4033328, $0.28, $0.285, $0.27
07/13/2020, $0.2871, 4201128, $0.29, $0.292, $0.282
07/10/2020, $0.292, 3101786, $0.29, $0.2959, $0.288
07/09/2020, $0.2962, 3815060, $0.299, $0.3, $0.288
07/08/2020, $0.3018, 5015931, $0.3, $0.305, $0.292
07/07/2020, $0.3, 4315061, $0.297, $0.305, $0.292
07/06/2020, $0.3, 5682457, $0.2988, $0.3049, $0.29
07/02/2020, $0.2994, 8767960, $0.295, $0.3155, $0.28
07/01/2020, $0.295, 6204333, $0.292, $0.305, $0.2899
06/30/2020, $0.3062, 12599420, $0.309, $0.3149, $0.28
06/29/2020, $0.324, 8254145, $0.32, $0.335, $0.3115
06/26/2020, $0.3389, 13489720, $0.335, $0.3396, $0.307
06/25/2020, $0.3499, 22762800, $0.4, $0.4, $0.3301
06/24/2020, $0.4088, 88704270, $0.352, $0.445, $0.3428
06/23/2020, $0.3296, 5917386, $0.3291, $0.339, $0.3115
06/22/2020, $0.329, 5961718, $0.3102, $0.3295, $0.3102
06/19/2020, $0.3097, 8554703, $0.313, $0.339, $0.3
06/18/2020, $0.3175, 4775947, $0.31, $0.3255, $0.305
06/17/2020, $0.3224, 5868908, $0.3259, $0.335, $0.312
06/16/2020, $0.3429, 10880680, $0.3523, $0.366, $0.3333
06/15/2020, $0.3313, 8494909, $0.31, $0.3313, $0.277
06/12/2020, $0.3316, 6926558, $0.3368, $0.3599, $0.32
06/11/2020, $0.318, 13860460, $0.35, $0.3599, $0.3041
06/10/2020, $0.38, 21871160, $0.42, $0.4688, $0.37
06/09/2020, $0.42, 46990940, $0.364, $0.444, $0.3445
06/08/2020, $0.37, 14623650, $0.35, $0.37, $0.342
06/05/2020, $0.345, 40993690, $0.39, $0.4392, $0.3411
06/04/2020, $0.36, 61718380, $0.294, $0.379, $0.2857
06/03/2020, $0.2715, 6119951, $0.2777, $0.2798, $0.27
06/02/2020, $0.2766, 5544605, $0.275, $0.285, $0.2681
06/01/2020, $0.275, 6237172, $0.2802, $0.283, $0.2597
05/29/2020, $0.2833, 7618373, $0.281, $0.288, $0.2725
05/28/2020, $0.287, 6654107, $0.304, $0.304, $0.2825
05/27/2020, $0.2989, 16180380, $0.29, $0.307, $0.2715
05/26/2020, $0.287, 8767899, $0.276, $0.299, $0.27
05/22/2020, $0.281, 19044560, $0.265, $0.289, $0.264
05/21/2020, $0.26, 4871728, $0.2688, $0.27, $0.258
05/20/2020, $0.2675, 7466244, $0.2665, $0.27, $0.257
05/19/2020, $0.264, 6253637, $0.2699, $0.27, $0.26
05/18/2020, $0.2723, 11825400, $0.25, $0.275, $0.25
05/15/2020, $0.275, 36856590, $0.3275, $0.339, $0.255
05/14/2020, $0.3401, 11707920, $0.318, $0.345, $0.312
05/13/2020, $0.318, 9672547, $0.33, $0.335, $0.295
05/12/2020, $0.345, 14934350, $0.34, $0.355, $0.325
05/11/2020, $0.32, 12283610, $0.303, $0.33, $0.285
