Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.85, 5438929, $1.92, $1.94, $1.76
07/30/2020, $1.95, 2082548, $1.91, $1.97, $1.86
07/29/2020, $1.96, 3566123, $1.87, $2.045, $1.8299
07/28/2020, $1.87, 2539954, $1.97, $1.97, $1.86
07/27/2020, $1.98, 5532771, $2.1, $2.1176, $1.86
07/24/2020, $2.08, 6363456, $1.92, $2.12, $1.78
07/23/2020, $1.98, 5218230, $2.08, $2.12, $1.89
07/22/2020, $1.99, 9656577, $2.29, $2.35, $1.97
07/21/2020, $2.24, 16204890, $1.9, $2.43, $1.88
07/20/2020, $1.86, 4721944, $1.83, $1.9, $1.77
07/17/2020, $1.815, 6998067, $1.65, $1.84, $1.62
07/16/2020, $1.66, 3845003, $1.66, $1.69, $1.55
07/15/2020, $1.64, 10182800, $1.58, $1.72, $1.57
07/14/2020, $1.49, 4842259, $1.53, $1.54, $1.39
07/13/2020, $1.5, 3831471, $1.51, $1.58, $1.47
07/10/2020, $1.5, 2686629, $1.47, $1.53, $1.41
07/09/2020, $1.47, 4154816, $1.59, $1.62, $1.45
07/08/2020, $1.58, 5914473, $1.55, $1.67, $1.53
07/07/2020, $1.53, 7051573, $1.44, $1.57, $1.405
07/06/2020, $1.46, 4455181, $1.4, $1.46, $1.35
07/02/2020, $1.39, 7170897, $1.35, $1.44, $1.33
07/01/2020, $1.3, 3952294, $1.24, $1.32, $1.21
06/30/2020, $1.25, 2902203, $1.2, $1.25, $1.17
06/29/2020, $1.18, 3089252, $1.25, $1.25, $1.16
06/26/2020, $1.2, 5874895, $1.27, $1.28, $1.2
06/25/2020, $1.3, 3376418, $1.2, $1.3, $1.17
06/24/2020, $1.17, 2628927, $1.23, $1.25, $1.15
06/23/2020, $1.24, 4138824, $1.197, $1.26, $1.16
06/22/2020, $1.19, 4039345, $1.22, $1.23, $1.15
06/19/2020, $1.19, 7100755, $1.22, $1.25, $1.18
06/18/2020, $1.2, 4470117, $1.22, $1.26, $1.19
06/17/2020, $1.245, 3795953, $1.32, $1.33, $1.24
06/16/2020, $1.305, 4008528, $1.36, $1.37, $1.28
06/15/2020, $1.31, 5770539, $1.31, $1.38, $1.2517
06/12/2020, $1.37, 7129158, $1.31, $1.37, $1.23
06/11/2020, $1.22, 7502408, $1.36, $1.42, $1.22
06/10/2020, $1.35, 4549479, $1.46, $1.48, $1.31
06/09/2020, $1.41, 8012488, $1.48, $1.51, $1.36
06/08/2020, $1.49, 21198940, $1.25, $1.68, $1.22
06/05/2020, $1.18, 7031797, $1.17, $1.23, $1.13
06/04/2020, $1.12, 3316328, $1.13, $1.15, $1.12
06/03/2020, $1.12, 5343178, $1.17, $1.1701, $1.12
06/02/2020, $1.14, 4678856, $1.23, $1.24, $1.13
06/01/2020, $1.19, 5876804, $1.15, $1.25, $1.13
05/29/2020, $1.13, 3806138, $1.18, $1.19, $1.11
05/28/2020, $1.17, 2760804, $1.2, $1.2, $1.17
05/27/2020, $1.19, 4307393, $1.22, $1.25, $1.14
05/26/2020, $1.22, 5209865, $1.33, $1.35, $1.22
05/22/2020, $1.25, 8949234, $1.24, $1.33, $1.21
05/21/2020, $1.19, 4651985, $1.16, $1.21, $1.12
05/20/2020, $1.13, 2993602, $1.17, $1.17, $1.12
05/19/2020, $1.11, 3490370, $1.16, $1.1899, $1.11
05/18/2020, $1.19, 3468174, $1.18, $1.2065, $1.15
05/15/2020, $1.17, 2502948, $1.16, $1.22, $1.12
05/14/2020, $1.12, 3119786, $1.19, $1.19, $1.05
05/13/2020, $1.18, 4313629, $1.27, $1.3, $1.12
05/12/2020, $1.25, 3554986, $1.35, $1.35, $1.25
05/11/2020, $1.31, 4041049, $1.3, $1.35, $1.27
