Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.325, 36540, $0.34, $0.37, $0.31
07/30/2020, $0.3499, 56521, $0.32, $0.4, $0.3
07/29/2020, $0.31, 23931, $0.28, $0.31, $0.26
07/28/2020, $0.321, 19223, $0.2999, $0.332, $0.291
07/27/2020, $0.33, 15771, $0.373, $0.388, $0.315
07/24/2020, $0.34, 18598, $0.37, $0.37, $0.301
07/23/2020, $0.3284, 129331, $0.3802, $0.4318, $0.211
07/22/2020, $0.35, 127416, $0.44, $0.4655, $0.3329
07/21/2020, $0.433, 506967, $0.7, $0.72, $0.41
07/20/2020, $0.416, 25500, $0.32, $0.416, $0.3
07/17/2020, $0.4101, N/A, $0.4101, $0.4101, $0.4101
07/16/2020, $0.4101, 300, $0.41, $0.4101, $0.41
07/15/2020, $0.41, 14159, $0.45, $0.45, $0.35
07/14/2020, $0.5, 2550, $0.6168, $0.6275, $0.41
07/13/2020, $0.6, 16429, $0.7, $0.75, $0.6
07/10/2020, $0.65, 21152, $0.48, $0.75, $0.48
07/09/2020, $0.4799, 30801, $0.47, $0.5, $0.47
07/08/2020, $0.4625, 17300, $0.422, $0.48, $0.422
07/07/2020, $0.48, 14405, $0.7, $0.7, $0.48
07/06/2020, $0.64, 74067, $0.52, $0.7, $0.35
07/02/2020, $0.4977, 91485, $0.4, $0.55, $0.3995
07/01/2020, $0.5, 61402, $0.47, $0.7, $0.47
06/30/2020, $0.47, 6045, $0.45, $0.56, $0.45
06/29/2020, $0.4301, 12949, $0.6, $0.6, $0.4301
06/26/2020, $0.4, 1101, $0.4, $0.4, $0.4
06/25/2020, $0.3984, 8000, $0.7, $0.7, $0.3984
06/24/2020, $0.35, 24185, $0.4679, $0.4679, $0.35
06/23/2020, $0.35, 84252, $0.43, $0.43, $0.3483
06/22/2020, $0.36, 39206, $0.45, $0.8499, $0.36
06/19/2020, $0.45, 22082, $0.45, $0.45, $0.38
06/18/2020, $0.44, 73146, $0.45, $0.45, $0.3501
06/17/2020, $0.44, 21350, $0.3, $0.449, $0.3
06/16/2020, $0.3992, 15701, $0.38, $0.4, $0.3
06/15/2020, $0.38, 59954, $0.36, $0.38, $0.3
06/12/2020, $0.3799, 110185, $0.33, $0.3799, $0.3299
06/11/2020, $0.33, 26120, $0.4, $0.4, $0.2101
06/10/2020, $0.38, 135170, $0.26, $0.4, $0.2499
06/09/2020, $0.2601, 69500, $0.25, $0.2601, $0.23
06/08/2020, $0.25, 41200, $0.2, $0.25, $0.2
06/05/2020, $0.185, 2850, $0.2, $0.2, $0.165
06/04/2020, $0.1744, 10819, $0.1, $0.188, $0.04
06/03/2020, $0.255, 2100, $0.3, $0.3, $0.255
06/02/2020, $0.25, 15158, $0.29, $0.29, $0.21
06/01/2020, $0.285, 123401, $0.2, $0.3451, $0.18
05/29/2020, $0.1999, 2800, $0.21, $0.21, $0.1999
05/28/2020, $0.2099, N/A, $0.2099, $0.2099, $0.2099
05/27/2020, $0.2099, 358, $0.2194, $0.2194, $0.2099
05/26/2020, $0.2099, 11522, $0.22, $0.22, $0.2099
05/22/2020, $0.1, 1150, $0.18, $0.18, $0.1
05/21/2020, $0.18, 26000, $0.1, $0.18, $0.0701
05/20/2020, $0.18, 50940, $0.2, $0.2, $0.18
05/19/2020, $0.21, 1590, $0.14, $0.2197, $0.14
05/18/2020, $0.1, N/A, $0.1, $0.1, $0.1
05/15/2020, $0.1, 40185, $0.1, $0.1, $0.085
05/14/2020, $0.08, 100612, $0.09, $0.09, $0.0799
05/13/2020, $0.0701, 500, $0.0701, $0.0701, $0.0701
05/12/2020, $0.08, N/A, $0.08, $0.08, $0.08
05/11/2020, $0.08, N/A, $0.08, $0.08, $0.08
