Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.52, 1075018, $1.57, $1.58, $1.5
07/30/2020, $1.64, 2770631, $1.66, $1.83, $1.58
07/29/2020, $1.87, 3183856, $1.73, $1.88, $1.61
07/28/2020, $1.7, 1865785, $1.56, $1.76, $1.51
07/27/2020, $1.52, 579912, $1.6, $1.6, $1.5
07/24/2020, $1.56, 516549, $1.63, $1.63, $1.55
07/23/2020, $1.63, 464882, $1.69, $1.69, $1.62
07/22/2020, $1.66, 1583059, $1.65, $1.73, $1.62
07/21/2020, $1.61, 526654, $1.62, $1.6299, $1.57
07/20/2020, $1.64, 965500, $1.68, $1.69, $1.54
07/17/2020, $1.67, 1024181, $1.65, $1.75, $1.63
07/16/2020, $1.71, 1696974, $1.5, $1.78, $1.5
07/15/2020, $1.6, 2214158, $1.55, $1.74, $1.55
07/14/2020, $1.55, 1657151, $1.6, $1.6, $1.43
07/13/2020, $1.66, 1592394, $1.75, $1.75, $1.63
07/10/2020, $1.75, 5823771, $1.69, $1.95, $1.62
07/09/2020, $1.74, 1544161, $1.8, $1.8, $1.65
07/08/2020, $1.8, 2292923, $1.91, $1.92, $1.65
07/07/2020, $1.95, 3739941, $2.09, $2.12, $1.9
07/06/2020, $2.37, 10122870, $2.31, $2.4599, $2.02
07/02/2020, $1.92, 2170389, $1.88, $1.95, $1.75
07/01/2020, $1.87, 1777193, $1.75, $1.95, $1.71
06/30/2020, $1.91, 8494601, $1.99, $2.27, $1.76
06/29/2020, $1.65, 1960684, $1.81, $1.89, $1.62
06/26/2020, $1.75, 3210793, $2.13, $2.22, $1.7
06/25/2020, $2.27, 3288066, $2.55, $2.56, $2.2
06/24/2020, $2.75, 6146969, $2.72, $2.83, $2.3
06/23/2020, $2.87, 10662910, $3.08, $3.35, $2.69
06/22/2020, $2.9, 15910190, $3.45, $3.5, $2.75
06/19/2020, $4.15, 73086710, $4.97, $5.63, $3.76
06/18/2020, $3.63, 85554190, $2.3, $4.28, $2.15
06/17/2020, $2.65, 89815760, $6.8, $6.84, $2.38
06/16/2020, $2.74, 26833140, $1.34, $4.49, $1.2388
06/15/2020, $1.46, 2469183, $0.92, $1.6, $0.92
06/12/2020, $0.8801, 21431, $0.9, $0.97, $0.86
06/11/2020, $0.9, 14550, $0.91, $0.99, $0.8628
06/10/2020, $0.9802, 14508, $1.01, $1.01, $0.9214
06/09/2020, $1.0001, 21331, $1.01, $1.01, $0.86
06/08/2020, $0.975, 52144, $1, $1.02, $0.9595
06/05/2020, $0.9595, 42483, $0.945, $1, $0.8521
06/04/2020, $0.9, 73905, $0.8, $1.01, $0.8
06/03/2020, $0.75, 30374, $0.756, $0.8151, $0.7121
06/02/2020, $0.71, 5754, $0.75, $0.75, $0.7
06/01/2020, $0.745, 29414, $0.7455, $0.7809, $0.6811
05/29/2020, $0.71, 17556, $0.75, $0.75, $0.69
05/28/2020, $0.681, 99189, $0.81, $0.81, $0.68
05/27/2020, $0.7437, 31295, $0.68, $0.749, $0.6437
05/26/2020, $0.646, 18486, $0.67, $0.68, $0.64
05/22/2020, $0.67, 21869, $0.68, $0.68, $0.6209
05/21/2020, $0.68, 34672, $0.7995, $0.7995, $0.67
05/20/2020, $0.75, 26658, $0.7533, $0.77, $0.7066
05/19/2020, $0.69, 6583, $0.6979, $0.744, $0.64
05/18/2020, $0.72, 4582, $0.7134, $0.749, $0.6842
05/15/2020, $0.6332, 5149, $0.7795, $0.7795, $0.63
05/14/2020, $0.626, 24049, $0.693, $0.693, $0.562
05/13/2020, $0.66, 20020, $0.73, $0.73, $0.6517
05/12/2020, $0.74, 23237, $0.8185, $0.8188, $0.7
05/11/2020, $0.755, 15034, $0.83, $0.848, $0.75
