Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.3961, 625906, $0.405, $0.4197, $0.382
07/30/2020, $0.4099, 264977, $0.41, $0.42, $0.4077
07/29/2020, $0.4146, 315077, $0.4189, $0.43, $0.412
07/28/2020, $0.4234, 327836, $0.422, $0.4299, $0.415
07/27/2020, $0.423, 335435, $0.437, $0.44, $0.4201
07/24/2020, $0.4447, 327080, $0.4423, $0.4768, $0.43
07/23/2020, $0.4362, 467793, $0.458, $0.4649, $0.435
07/22/2020, $0.4552, 882156, $0.4864, $0.49, $0.4506
07/21/2020, $0.454, 1362224, $0.421, $0.47, $0.421
07/20/2020, $0.4204, 272727, $0.4304, $0.433, $0.415
07/17/2020, $0.4228, 225770, $0.435, $0.445, $0.415
07/16/2020, $0.435, 290805, $0.449, $0.449, $0.422
07/15/2020, $0.4476, 409839, $0.434, $0.4493, $0.4101
07/14/2020, $0.4168, 420594, $0.4214, $0.425, $0.4
07/13/2020, $0.4214, 581672, $0.45, $0.45, $0.4123
07/10/2020, $0.439, 375098, $0.4325, $0.45, $0.4145
07/09/2020, $0.4332, 571090, $0.4395, $0.4599, $0.4066
07/08/2020, $0.4456, 424125, $0.45, $0.4578, $0.44
07/07/2020, $0.4505, 594804, $0.48, $0.48, $0.45
07/06/2020, $0.4734, 502038, $0.5096, $0.51, $0.47
07/02/2020, $0.4859, 612059, $0.4834, $0.4999, $0.48
07/01/2020, $0.4825, 655563, $0.51, $0.5276, $0.4773
06/30/2020, $0.4875, 428294, $0.49, $0.51, $0.4802
06/29/2020, $0.4961, 544403, $0.4699, $0.5199, $0.465
06/26/2020, $0.4873, 3227762, $0.5, $0.505, $0.4552
06/25/2020, $0.5094, 1355156, $0.52, $0.52, $0.4722
06/24/2020, $0.5202, 1067384, $0.5151, $0.5399, $0.51
06/23/2020, $0.548, 1629695, $0.5931, $0.5931, $0.5166
06/22/2020, $0.5761, 3110578, $0.54, $0.6399, $0.5071
06/19/2020, $0.5202, 1204232, $0.585, $0.585, $0.52
06/18/2020, $0.5467, 1081220, $0.55, $0.5972, $0.54
06/17/2020, $0.5486, 1316698, $0.6164, $0.6164, $0.5402
06/16/2020, $0.6041, 1787993, $0.65, $0.6549, $0.5801
06/15/2020, $0.5602, 1252843, $0.575, $0.61, $0.5306
06/12/2020, $0.59, 1274399, $0.63, $0.63, $0.57
06/11/2020, $0.5216, 1682091, $0.568, $0.598, $0.51
06/10/2020, $0.642, 2907481, $0.71, $0.7455, $0.52
06/09/2020, $0.7885, 2944539, $0.85, $0.86, $0.71
06/08/2020, $0.9587, 6858390, $0.9, $1.03, $0.776
06/05/2020, $0.6321, 5402604, $0.534, $0.7197, $0.51
06/04/2020, $0.4724, 1103193, $0.475, $0.49, $0.463
06/03/2020, $0.4757, 1024834, $0.4734, $0.4933, $0.46
06/02/2020, $0.451, 1113376, $0.4882, $0.49, $0.4441
06/01/2020, $0.465, 1384729, $0.47, $0.505, $0.456
05/29/2020, $0.4714, 1584704, $0.49, $0.4998, $0.4301
05/28/2020, $0.4694, 3728895, $0.4259, $0.52, $0.415
05/27/2020, $0.419, 948028, $0.4, $0.4398, $0.3951
05/26/2020, $0.3979, 776936, $0.3998, $0.41, $0.392
05/22/2020, $0.3901, 1097639, $0.4105, $0.4105, $0.39
05/21/2020, $0.4046, 666067, $0.41, $0.4149, $0.3901
05/20/2020, $0.41, 1090725, $0.4274, $0.4275, $0.4
05/19/2020, $0.4275, 2581303, $0.4201, $0.477, $0.4144
05/18/2020, $0.4357, 787890, $0.45, $0.45, $0.419
05/15/2020, $0.4189, 556071, $0.4035, $0.4271, $0.4
05/14/2020, $0.4281, 970147, $0.41, $0.438, $0.4
05/13/2020, $0.4404, 1567734, $0.48, $0.4909, $0.4001
05/12/2020, $0.444, 2458071, $0.43, $0.46, $0.418
05/11/2020, $0.3923, 2005928, $0.3854, $0.4195, $0.35
