Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.59, 18767, $1.57, $1.6, $1.57
07/30/2020, $1.57, 27459, $1.61, $1.61, $1.56
07/29/2020, $1.6, 17642, $1.67, $1.67, $1.6
07/28/2020, $1.59, 11623, $1.645, $1.645, $1.59
07/27/2020, $1.64, 17492, $1.67, $1.7085, $1.64
07/24/2020, $1.63, 10234, $1.72, $1.72, $1.63
07/23/2020, $1.73, 13895, $1.694, $1.74, $1.694
07/22/2020, $1.685, 29874, $1.7, $1.75, $1.63
07/21/2020, $1.72, 11343, $1.7, $1.74, $1.7
07/20/2020, $1.67, 43531, $1.71, $1.75, $1.67
07/17/2020, $1.7098, 22800, $1.69, $1.72, $1.68
07/16/2020, $1.6701, 4803, $1.685, $1.71, $1.6701
07/15/2020, $1.69, 17425, $1.7, $1.7151, $1.641
07/14/2020, $1.69, 7262, $1.67, $1.7, $1.67
07/13/2020, $1.71, 15385, $1.69, $1.7233, $1.6601
07/10/2020, $1.68, 10768, $1.73, $1.74, $1.68
07/09/2020, $1.72, 17187, $1.76, $1.76, $1.6804
07/08/2020, $1.72, 10782, $1.75, $1.8, $1.72
07/07/2020, $1.75, 21582, $1.72, $1.76, $1.72
07/06/2020, $1.78, 38706, $1.8, $1.81, $1.73
07/02/2020, $1.68, 35105, $1.765, $1.82, $1.68
07/01/2020, $1.7901, 99859, $1.74, $1.88, $1.7
06/30/2020, $1.75, 31187, $1.72, $1.8, $1.72
06/29/2020, $1.82, 95761, $1.83, $1.8667, $1.68
06/26/2020, $1.9, 537682, $2.1, $2.24, $1.85
06/25/2020, $1.765, 252485, $1.6901, $1.81, $1.6901
06/24/2020, $1.73, 5248, $1.71, $1.74, $1.7
06/23/2020, $1.72, 16087, $1.73, $1.7377, $1.68
06/22/2020, $1.74, 25015, $1.74, $1.76, $1.69
06/19/2020, $1.76, 6793, $1.73, $1.77, $1.72
06/18/2020, $1.75, 2405, $1.71, $1.7899, $1.71
06/17/2020, $1.75, 20024, $1.75, $1.78, $1.69
06/16/2020, $1.75, 19948, $1.77, $1.78, $1.69
06/15/2020, $1.76, 18586, $1.77, $1.77, $1.68
06/12/2020, $1.74, 17327, $1.77, $1.84, $1.72
06/11/2020, $1.74, 21727, $1.75, $1.78, $1.69
06/10/2020, $1.76, 39915, $1.74, $1.84, $1.7
06/09/2020, $1.82, 11537, $1.81, $1.86, $1.81
06/08/2020, $1.82, 4865, $1.88, $1.93, $1.82
06/05/2020, $1.89, 14251, $1.85, $1.91, $1.82
06/04/2020, $1.84, 4532, $1.81, $1.88, $1.81
06/03/2020, $1.84, 53416, $1.83, $1.9, $1.77
06/02/2020, $1.89, 8165, $1.85, $1.9, $1.85
06/01/2020, $1.9, 324, $1.9, $1.9, $1.9
05/29/2020, $1.88, 2855, $1.86, $1.9079, $1.86
05/28/2020, $1.9, 707, $1.91, $1.91, $1.9
05/27/2020, $1.9, 8930, $1.855, $1.9, $1.83
05/26/2020, $1.86, 6610, $1.83, $1.87, $1.8
05/22/2020, $1.85, 25186, $1.81, $1.8857, $1.74
05/21/2020, $1.85, 4623, $1.76, $1.9, $1.72
05/20/2020, $1.75, 25652, $1.724, $1.765, $1.68
05/19/2020, $1.7, 3604, $1.74, $1.75, $1.7
05/18/2020, $1.75, 8497, $1.74, $1.7606, $1.7
05/15/2020, $1.74, 5618, $1.8, $1.8, $1.7101
05/14/2020, $1.8, 2714, $1.75, $1.8, $1.73
05/13/2020, $1.76, 6621, $1.78, $1.79, $1.76
05/12/2020, $1.81, 681, $1.81, $1.81, $1.81
05/11/2020, $1.84, 2893, $1.81, $1.84, $1.81
