Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.31, 253134, $1.3, $1.34, $1.25
07/30/2020, $1.3, 66644, $1.28, $1.31, $1.28
07/29/2020, $1.28, 137997, $1.3, $1.34, $1.28
07/28/2020, $1.32, 156846, $1.35, $1.38, $1.31
07/27/2020, $1.36, 342007, $1.3, $1.38, $1.28
07/24/2020, $1.31, 125220, $1.28, $1.32, $1.25
07/23/2020, $1.28, 79501, $1.3, $1.3, $1.27
07/22/2020, $1.29, 117919, $1.33, $1.361, $1.2719
07/21/2020, $1.34, 390079, $1.3, $1.37, $1.2737
07/20/2020, $1.295, 209819, $1.28, $1.32, $1.26
07/17/2020, $1.28, 261327, $1.23, $1.3, $1.22
07/16/2020, $1.24, 222914, $1.21, $1.28, $1.21
07/15/2020, $1.22, 88090, $1.22, $1.24, $1.21
07/14/2020, $1.22, 140609, $1.22, $1.23, $1.21
07/13/2020, $1.23, 189859, $1.24, $1.24, $1.21
07/10/2020, $1.235, 151148, $1.22, $1.25, $1.21
07/09/2020, $1.23, 94034, $1.25, $1.2745, $1.23
07/08/2020, $1.25, 181718, $1.25, $1.3, $1.23
07/07/2020, $1.26, 160252, $1.24, $1.27, $1.235
07/06/2020, $1.26, 189008, $1.2, $1.26, $1.2
07/02/2020, $1.2207, 202432, $1.23, $1.24, $1.21
07/01/2020, $1.23, 142040, $1.27, $1.27, $1.22
06/30/2020, $1.28, 200022, $1.27, $1.28, $1.24
06/29/2020, $1.28, 271778, $1.25, $1.28, $1.24
06/26/2020, $1.2525, 190417, $1.3, $1.3, $1.25
06/25/2020, $1.29, 305500, $1.24, $1.3, $1.24
06/24/2020, $1.25, 285566, $1.25, $1.29, $1.23
06/23/2020, $1.27, 642737, $1.27, $1.28, $1.23
06/22/2020, $1.26, 1264657, $1.29, $1.29, $1.22
06/19/2020, $1.26, 543256, $1.27, $1.29, $1.23
06/18/2020, $1.28, 823721, $1.26, $1.33, $1.23
06/17/2020, $1.29, 5447035, $1.39, $1.62, $1.22
06/16/2020, $1.39, 1012727, $1.29, $1.43, $1.2701
06/15/2020, $1.26, 203685, $1.19, $1.27, $1.175
06/12/2020, $1.22, 195537, $1.24, $1.25, $1.2
06/11/2020, $1.19, 815072, $1.35, $1.3517, $1.09
06/10/2020, $1.36, 303225, $1.33, $1.36, $1.3001
06/09/2020, $1.33, 472132, $1.29, $1.355, $1.28
06/08/2020, $1.3, 520877, $1.28, $1.32, $1.26
06/05/2020, $1.29, 486078, $1.26, $1.29, $1.2299
06/04/2020, $1.26, 487725, $1.29, $1.3, $1.24
06/03/2020, $1.27, 491422, $1.29, $1.29, $1.25
06/02/2020, $1.28, 848103, $1.23, $1.3, $1.19
06/01/2020, $1.23, 887588, $1.21, $1.24, $1.17
05/29/2020, $1.23, 785769, $1.25, $1.27, $1.21
05/28/2020, $1.23, 2984640, $1.15, $1.24, $1.14
05/27/2020, $1.15, 1800585, $1.19, $1.19, $1.1
05/26/2020, $1.12, 2351703, $1.17, $1.17, $1.07
05/22/2020, $1.14, 621301, $1.19, $1.205, $1.11
05/21/2020, $1.19, 643609, $1.19, $1.22, $1.1485
05/20/2020, $1.17, 1012896, $1.21, $1.21, $1.145
05/19/2020, $1.18, 828103, $1.2, $1.21, $1.17
05/18/2020, $1.19, 1482823, $1.2, $1.23, $1.17
05/15/2020, $1.2, 159396, $1.2, $1.25, $1.18
05/14/2020, $1.2, 651662, $1.22, $1.25, $1.15
05/13/2020, $1.22, 239109, $1.27, $1.3, $1.2
05/12/2020, $1.26, 452638, $1.31, $1.31, $1.25
05/11/2020, $1.3, 959791, $1.31, $1.32, $1.24
