Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.02, 1331680, $1.06, $1.06, $1
07/30/2020, $1.04, 971018, $1.05, $1.06, $1.02
07/29/2020, $1.06, 915929, $1.07, $1.075, $1.03
07/28/2020, $1.07, 826757, $1.07, $1.1, $1.04
07/27/2020, $1.07, 1535229, $1.13, $1.15, $1.05
07/24/2020, $1.12, 2227165, $1.14, $1.18, $1.1
07/23/2020, $1.125, 2953342, $1.17, $1.19, $1.12
07/22/2020, $1.15, 11359640, $1.12, $1.2, $1.12
07/21/2020, $1.58, 15468450, $1.41, $2.64, $1.385
07/20/2020, $1.21, 247332, $1.24, $1.29, $1.2
07/17/2020, $1.26, 373865, $1.34, $1.34, $1.2
07/16/2020, $1.35, 1574618, $1.11, $1.4, $1
07/15/2020, $1.06, 1190233, $1.15, $1.2, $1.05
07/14/2020, $1.1, 403515, $1.27, $1.31, $1.08
07/13/2020, $1.29, 284559, $1.39, $1.4, $1.25
07/10/2020, $1.39, 91046, $1.41, $1.41, $1.32
07/09/2020, $1.395, 152039, $1.41, $1.4289, $1.3301
07/08/2020, $1.36, 254379, $1.37, $1.47, $1.35
07/07/2020, $1.35, 158596, $1.24, $1.37, $1.2
07/06/2020, $1.29, 175009, $1.25, $1.3, $1.2201
07/02/2020, $1.23, 145887, $1.25, $1.28, $1.2001
07/01/2020, $1.23, 407554, $1.1, $1.25, $1.1
06/30/2020, $1.11, 154818, $1.07, $1.17, $1.06
06/29/2020, $1.07, 77050, $1.12, $1.12, $1.04
06/26/2020, $1.11, 115595, $1.09, $1.11, $1.01
06/25/2020, $1.08, 42850, $1.03, $1.09, $1.03
06/24/2020, $1.03, 28412, $1.06, $1.0725, $1.01
06/23/2020, $1.05, 77548, $1.04, $1.07, $1.04
06/22/2020, $1.03, 130387, $1.05, $1.08, $1.0001
06/19/2020, $1.04, 118068, $0.99, $1.0699, $0.99
06/18/2020, $1.02, 218444, $1.1, $1.1, $0.98
06/17/2020, $1.08, 88087, $1.13, $1.14, $1.08
06/16/2020, $1.05, 125366, $1.06, $1.1, $1.05
06/15/2020, $1.07, 110338, $1.1, $1.17, $1.05
06/12/2020, $1.09, 116693, $1.16, $1.16, $1.08
06/11/2020, $1.11, 174617, $1.15, $1.15, $1.08
06/10/2020, $1.18, 222025, $1.2, $1.25, $1.1422
06/09/2020, $1.27, 100780, $1.26, $1.29, $1.25
06/08/2020, $1.29, 147023, $1.27, $1.29, $1.22
06/05/2020, $1.27, 200586, $1.24, $1.3199, $1.22
06/04/2020, $1.21, 107032, $1.15, $1.24, $1.14
06/03/2020, $1.17, 133885, $1.2, $1.2, $1.15
06/02/2020, $1.19, 133448, $1.16, $1.2, $1.15
06/01/2020, $1.18, 211973, $1.2, $1.2, $1.05
05/29/2020, $1.1668, 51673, $1.17, $1.19, $1.14
05/28/2020, $1.15, 45796, $1.19, $1.19, $1.15
05/27/2020, $1.17, 101657, $1.2, $1.2, $1.12
05/26/2020, $1.17, 50431, $1.19, $1.19, $1.12
05/22/2020, $1.155, 132410, $1.17, $1.1863, $1.1055
05/21/2020, $1.15, 65349, $1.15, $1.1842, $1.15
05/20/2020, $1.2, 83508, $1.22, $1.24, $1.17
05/19/2020, $1.15, 335499, $1.2, $1.22, $1.08
05/18/2020, $1.2522, 185023, $1.37, $1.37, $1.25
05/15/2020, $1.37, 92962, $1.4, $1.4, $1.31
05/14/2020, $1.41, 157175, $1.31, $1.42, $1.31
05/13/2020, $1.32, 40787, $1.42, $1.4211, $1.32
05/12/2020, $1.4, 39318, $1.44, $1.4599, $1.4
05/11/2020, $1.42, 127458, $1.32, $1.47, $1.32
