Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.83, 1012769, $2.91, $2.96, $2.8
07/30/2020, $2.93, 761903, $2.81, $2.98, $2.76
07/29/2020, $2.86, 780516, $2.96, $2.97, $2.81
07/28/2020, $2.99, 442866, $2.98, $3, $2.92
07/27/2020, $2.98, 1251306, $3.1, $3.155, $2.85
07/24/2020, $3.05, 1119904, $3.07, $3.17, $2.96
07/23/2020, $3.1, 1785187, $3.335, $3.34, $3.02
07/22/2020, $3.13, 973368, $3.19, $3.2, $3.05
07/21/2020, $3.19, 942294, $3.35, $3.36, $3.16
07/20/2020, $3.34, 1529116, $3.23, $3.47, $3.115
07/17/2020, $3.22, 1027978, $3.25, $3.38, $3.145
07/16/2020, $3.25, 1343433, $3.23, $3.39, $3.1335
07/15/2020, $3.13, 1989329, $2.98, $3.19, $2.92
07/14/2020, $2.95, 449891, $2.9, $2.98, $2.89
07/13/2020, $2.91, 485391, $3.07, $3.0985, $2.88
07/10/2020, $3.06, 422940, $3.07, $3.1, $2.98
07/09/2020, $3.08, 408385, $3.18, $3.19, $3.03
07/08/2020, $3.19, 519834, $3.19, $3.21, $3.07
07/07/2020, $3.19, 518879, $3.26, $3.31, $3.13
07/06/2020, $3.26, 548059, $3.34, $3.35, $3.25
07/02/2020, $3.36, 455146, $3.3675, $3.38, $3.2338
07/01/2020, $3.355, 657908, $3.4, $3.41, $3.22
06/30/2020, $3.34, 976905, $3.47, $3.51, $3.25
06/29/2020, $3.43, 1804178, $3.42, $3.7886, $3.2802
06/26/2020, $3.21, 6485741, $3.5, $3.5, $3.05
06/25/2020, $3.42, 613509, $3.4, $3.525, $3.28
06/24/2020, $3.41, 917714, $3.22, $3.44, $3.22
06/23/2020, $3.19, 637178, $3.44, $3.48, $3.19
06/22/2020, $3.43, 534498, $3.52, $3.53, $3.4
06/19/2020, $3.46, 1441547, $3.47, $3.57, $3.35
06/18/2020, $3.26, 819864, $3.33, $3.53, $3.2
06/17/2020, $3.34, 454822, $3.39, $3.4601, $3.31
06/16/2020, $3.4, 642049, $3.64, $3.64, $3.37
06/15/2020, $3.56, 859054, $3.37, $3.64, $3.32
06/12/2020, $3.34, 661827, $3.27, $3.51, $3.27
06/11/2020, $3.2, 325776, $3.49, $3.49, $3.2
06/10/2020, $3.57, 587437, $3.34, $3.62, $3.3327
06/09/2020, $3.34, 424892, $3.37, $3.47, $3.32
06/08/2020, $3.39, 277103, $3.55, $3.59, $3.35
06/05/2020, $3.53, 350940, $3.37, $3.54, $3.32
06/04/2020, $3.37, 336914, $3.41, $3.55, $3.33
06/03/2020, $3.44, 420875, $3.61, $3.61, $3.4
06/02/2020, $3.59, 320730, $3.64, $3.7, $3.55
06/01/2020, $3.63, 386693, $3.74, $3.76, $3.63
05/29/2020, $3.73, 304682, $3.81, $3.84, $3.65
05/28/2020, $3.74, 678165, $3.66, $3.84, $3.65
05/27/2020, $3.65, 616692, $3.62, $3.72, $3.47
05/26/2020, $3.63, 433188, $3.76, $3.8, $3.5697
05/22/2020, $3.64, 423270, $3.69, $3.7, $3.52
05/21/2020, $3.69, 202559, $3.72, $3.9, $3.67
05/20/2020, $3.72, 287977, $3.85, $3.85, $3.61
05/19/2020, $3.8, 280995, $3.89, $3.95, $3.8
05/18/2020, $3.9, 347703, $3.97, $4.02, $3.87
05/15/2020, $3.97, 325148, $4.04, $4.0425, $3.91
05/14/2020, $4.02, 678112, $4, $4.27, $3.94
05/13/2020, $3.97, 1938691, $3.51, $4.36, $3.51
05/12/2020, $3.53, 2076627, $3.8, $4.09, $3.5
05/11/2020, $3.76, 291822, $3.83, $3.93, $3.7
