Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.385, 219551, $4.25, $4.39, $4.2
07/30/2020, $4.27, 222918, $4.29, $4.41, $4.17
07/29/2020, $4.38, 142237, $4.29, $4.46, $4.26
07/28/2020, $4.25, 303493, $4.22, $4.345, $4.22
07/27/2020, $4.19, 372101, $4.26, $4.3, $4.11
07/24/2020, $4.3, 146194, $4.31, $4.4, $4.23
07/23/2020, $4.305, 277253, $4.3, $4.445, $4.26
07/22/2020, $4.31, 204441, $4.41, $4.47, $4.265
07/21/2020, $4.465, 671921, $4.45, $4.57, $4.22
07/20/2020, $4.155, 174562, $4.38, $4.3999, $4.14
07/17/2020, $4.4, 275198, $4.52, $4.6049, $4.335
07/16/2020, $4.53, 131116, $4.37, $4.62, $4.27
07/15/2020, $4.37, 209880, $4.37, $4.55, $4.24
07/14/2020, $4.2, 323526, $4.07, $4.22, $4
07/13/2020, $4.1, 294545, $4.08, $4.2322, $3.93
07/10/2020, $4.025, 264209, $4, $4.11, $3.95
07/09/2020, $3.98, 216613, $4.08, $4.11, $3.9
07/08/2020, $4.12, 434920, $4.03, $4.14, $3.83
07/07/2020, $4.02, 314284, $4.25, $4.25, $4
07/06/2020, $4.28, 191846, $4.59, $4.59, $4.17
07/02/2020, $4.44, 319740, $4.5, $4.51, $4.26
07/01/2020, $4.19, 230052, $4.44, $4.63, $4.18
06/30/2020, $4.44, 198390, $4.42, $4.53, $4.14
06/29/2020, $4.46, 412534, $4.19, $4.49, $3.9
06/26/2020, $4.05, 454537, $4.31, $4.38, $4.01
06/25/2020, $4.24, 599199, $4.29, $4.3332, $3.97
06/24/2020, $4.34, 465433, $4.61, $4.7, $4.33
06/23/2020, $4.62, 322176, $4.95, $4.9899, $4.62
06/22/2020, $4.86, 535685, $4.69, $4.9, $4.55
06/19/2020, $4.65, 620505, $5.05, $5.2, $4.65
06/18/2020, $4.96, 341722, $5.12, $5.18, $4.9
06/17/2020, $5.25, 351928, $5.93, $5.93, $5.17
06/16/2020, $5.95, 257965, $5.87, $6.0999, $5.7699
06/15/2020, $5.5, 253192, $5.3, $5.6, $5.13
06/12/2020, $5.48, 250455, $5.75, $5.9, $5.3
06/11/2020, $5.42, 301882, $5.94, $5.94, $5.305
06/10/2020, $6.47, 313222, $6.98, $6.98, $6.32
06/09/2020, $6.975, 313686, $7.05, $7.225, $6.66
06/08/2020, $7.18, 347014, $7.65, $7.65, $6.86
06/05/2020, $7.16, 414141, $6.72, $7.35, $6.63
06/04/2020, $6.36, 390447, $6.37, $6.74, $6.09
06/03/2020, $6.36, 465883, $6.02, $6.52, $5.745
06/02/2020, $5.9, 352434, $5.76, $6.11, $5.69
06/01/2020, $5.73, 377517, $5.26, $6.31, $5.26
05/29/2020, $5.25, 537328, $6.03, $6.23, $5.215
05/28/2020, $6.13, 376173, $6.64, $6.75, $5.96
05/27/2020, $6.12, 183330, $5.66, $6.15, $5.51
05/26/2020, $5.46, 196113, $5.09, $5.49, $5.09
05/22/2020, $4.88, 73043, $5.03, $5.03, $4.8
05/21/2020, $5, 190053, $4.69, $5.09, $4.69
05/20/2020, $4.66, 184551, $4.94, $5, $4.64
05/19/2020, $4.78, 140432, $4.8, $4.98, $4.5
05/18/2020, $4.8, 224735, $4.51, $4.93, $4.44
05/15/2020, $4.24, 136957, $4.22, $4.3, $4.01
05/14/2020, $4.25, 174289, $4.07, $4.28, $3.82
05/13/2020, $4.1, 172989, $4.51, $4.51, $4.02
05/12/2020, $4.54, 156122, $4.8, $4.86, $4.51
05/11/2020, $4.73, 200043, $4.86, $4.86, $4.4628
