Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.77, 2237553, $2.5, $2.84, $2.46
07/30/2020, $2.44, 1228729, $2.34, $2.44, $2.21
07/29/2020, $2.35, 595008, $2.27, $2.38, $2.23
07/28/2020, $2.23, 1013354, $2.38, $2.42, $2.2
07/27/2020, $2.42, 605066, $2.43, $2.49, $2.345
07/24/2020, $2.43, 857967, $2.42, $2.57, $2.36
07/23/2020, $2.39, 1194340, $2.5, $2.53, $2.335
07/22/2020, $2.45, 3892985, $2.31, $2.57, $2.27
07/21/2020, $2.25, 1776425, $2.3, $2.39, $2.24
07/20/2020, $2.245, 632182, $2.25, $2.28, $2.22
07/17/2020, $2.28, 753353, $2.32, $2.3523, $2.25
07/16/2020, $2.32, 837529, $2.27, $2.35, $2.205
07/15/2020, $2.29, 858777, $2.37, $2.37, $2.26
07/14/2020, $2.285, 1072934, $2.12, $2.3, $2.07
07/13/2020, $2.12, 1015256, $2.23, $2.28, $2.11
07/10/2020, $2.19, 938498, $2.19, $2.26, $2.07
07/09/2020, $2.21, 891559, $2.35, $2.45, $2.2
07/08/2020, $2.35, 942369, $2.15, $2.395, $2.145
07/07/2020, $2.14, 563715, $2.24, $2.28, $2.13
07/06/2020, $2.25, 591140, $2.36, $2.38, $2.22
07/02/2020, $2.34, 1093069, $2.33, $2.47, $2.25
07/01/2020, $2.3, 1669133, $2.23, $2.32, $2.105
06/30/2020, $2.24, 4270175, $2.05, $2.48, $2.05
06/29/2020, $2.05, 892621, $1.99, $2.1, $1.955
06/26/2020, $1.95, 2996960, $2.06, $2.1, $1.94
06/25/2020, $2.09, 1049305, $2.04, $2.15, $1.99
06/24/2020, $2.04, 1345093, $2.05, $2.075, $1.96
06/23/2020, $2.05, 1248692, $2.2, $2.239, $2.02
06/22/2020, $2.16, 878243, $2.18, $2.1875, $2.09
06/19/2020, $2.22, 1364205, $2.18, $2.27, $2.13
06/18/2020, $2.16, 727412, $2.19, $2.23, $2.11
06/17/2020, $2.21, 853264, $2.2, $2.275, $2.13
06/16/2020, $2.215, 844491, $2.31, $2.3533, $2.14
06/15/2020, $2.18, 918979, $2.03, $2.19, $1.98
06/12/2020, $2.22, 2141994, $1.97, $2.24, $1.951
06/11/2020, $1.9, 1713793, $2.1, $2.1399, $1.88
06/10/2020, $2.11, 1675448, $2.42, $2.43, $2.1
06/09/2020, $2.45, 1870862, $2.63, $2.72, $2.44
06/08/2020, $2.73, 2639538, $2.55, $2.77, $2.425
06/05/2020, $2.38, 2318989, $2.18, $2.48, $2.12
06/04/2020, $2.09, 2315530, $1.95, $2.29, $1.92
06/03/2020, $1.95, 1185609, $1.89, $1.97, $1.85
06/02/2020, $1.87, 2004363, $1.85, $2.0158, $1.82
06/01/2020, $1.81, 1214591, $1.78, $1.9, $1.73
05/29/2020, $1.75, 1271322, $1.83, $1.83, $1.72
05/28/2020, $1.83, 836613, $1.9, $1.915, $1.83
05/27/2020, $1.87, 1118179, $1.83, $1.89, $1.77
05/26/2020, $1.76, 1407045, $1.89, $1.8998, $1.74
05/22/2020, $1.81, 903728, $1.89, $1.93, $1.77
05/21/2020, $1.89, 813206, $1.93, $1.96, $1.865
05/20/2020, $1.91, 940293, $1.98, $1.98, $1.905
05/19/2020, $1.92, 831311, $1.99, $2.07, $1.91
05/18/2020, $1.97, 2205455, $1.92, $2.21, $1.92
05/15/2020, $1.87, 976379, $1.85, $1.89, $1.81
05/14/2020, $1.83, 631752, $1.82, $1.86, $1.78
05/13/2020, $1.85, 1067403, $2.01, $2.025, $1.76
05/12/2020, $1.98, 3978536, $1.9, $2.115, $1.85
05/11/2020, $1.88, 1628686, $1.75, $1.95, $1.725
