Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.58, 58208, $3.538, $3.65, $3.46
07/30/2020, $3.59, 64544, $3.44, $3.6, $3.35
07/29/2020, $3.43, 43106, $3.39, $3.55, $3.39
07/28/2020, $3.38, 152858, $3.6, $4, $3.38
07/27/2020, $3.57, 26227, $3.54, $3.7, $3.5
07/24/2020, $3.59, 13879, $3.6, $3.6484, $3.55
07/23/2020, $3.65, 29994, $3.63, $3.75, $3.555
07/22/2020, $3.69, 26748, $3.68, $3.7, $3.55
07/21/2020, $3.68, 57403, $3.62, $3.77, $3.5
07/20/2020, $3.67, 20767, $3.75, $3.8646, $3.61
07/17/2020, $3.71, 61391, $3.72, $3.9, $3.67
07/16/2020, $3.7, 34053, $3.65, $3.75, $3.65
07/15/2020, $3.72, 55475, $3.76, $3.85, $3.696
07/14/2020, $3.8, 61843, $3.94, $4, $3.53
07/13/2020, $3.72, 70036, $4.03, $4.03, $3.7
07/10/2020, $3.9, 61626, $4.09, $4.09, $3.59
07/09/2020, $4.03, 135596, $4, $4.12, $3.67
07/08/2020, $3.86, 277854, $3.95, $4.4, $3.7818
07/07/2020, $3.79, 16140, $3.9, $3.95, $3.79
07/06/2020, $3.87, 33744, $3.9, $3.988, $3.8
07/02/2020, $3.85, 32741, $3.9, $3.97, $3.75
07/01/2020, $3.85, 71448, $3.69, $3.9, $3.66
06/30/2020, $3.81, 119901, $3.83, $3.88, $3.65
06/29/2020, $3.86, 63072, $3.91, $4, $3.75
06/26/2020, $3.91, 141036, $4.1, $4.1, $3.74
06/25/2020, $4.16, 472263, $3.82, $4.16, $3.51
06/24/2020, $3.49, 387611, $3.8, $4.1494, $3.33
06/23/2020, $3.9, 243226, $4.1, $4.1, $3.8342
06/22/2020, $4.0175, 273835, $4.1, $4.19, $3.95
06/19/2020, $3.95, 157566, $4.1, $4.2, $3.91
06/18/2020, $3.9, 403498, $3.48, $4.35, $3.48
06/17/2020, $6.25, 31810, $5.9263, $6.495, $5.5
06/16/2020, $5.78, 19956, $5.78, $6.5, $5.78
06/15/2020, $6, 11848, $6, $6, $5.655
06/12/2020, $5.995, 10127, $5.995, $6, $5.125
06/11/2020, $5.675, 6672, $5.5, $5.75, $5.15
06/10/2020, $5.495, 7941, $5.5, $6, $5.125
06/09/2020, $5.7, 2868, $5.175, $5.7, $4.875
06/08/2020, $5.1, 4815, $5.5, $5.5, $4.3225
06/05/2020, $5.5, 2493, $5.995, $5.995, $5.25
06/04/2020, $5.995, 124, $5.995, $5.995, $5.995
06/03/2020, $5.99, 1645, $5.495, $5.995, $5.26
06/02/2020, $5.25, 1220, $5.995, $5.995, $5.005
06/01/2020, $5.995, 6748, $5.5, $5.995, $5.395
05/29/2020, $5.395, 1409, $5.495, $5.5, $4.9
05/28/2020, $4.88, 8652, $4.75, $5.495, $4.75
05/27/2020, $5.295, 2118, $4.5, $5.395, $4.5
05/26/2020, $4.75, 3344, $5.015, $5.775, $4.75
05/22/2020, $5.25, 7906, $6, $6, $4.425
05/21/2020, $5.8875, 839, $5.88, $5.995, $5.505
05/20/2020, $6, 1610, $6.75, $6.75, $5.745
05/19/2020, $6, 5978, $5.03, $6, $5.03
05/18/2020, $5.795, 2828, $6, $6, $5.5
05/15/2020, $6, 1360, $5.945, $6, $4.75
05/14/2020, $5.94, 3130, $5.375, $5.94, $5.1
05/13/2020, $5.025, 4641, $4.825, $5.95, $4.75
05/12/2020, $4.85, 6395, $5.495, $5.75, $4.305
05/11/2020, $5, 1085, $5.5, $5.5, $5
