Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.93, 2073805, $0.9, $0.97, $0.89
07/30/2020, $0.87, 1334332, $0.92, $0.94, $0.8214
07/29/2020, $0.92, 4447732, $0.848, $0.998, $0.805
07/28/2020, $0.8301, 2409840, $0.777, $0.86, $0.75
07/27/2020, $0.75, 1640227, $0.7263, $0.83, $0.7263
07/24/2020, $0.7649, 1947900, $0.76, $0.7895, $0.7
07/23/2020, $0.8, 8086983, $0.8499, $0.95, $0.765
07/22/2020, $0.7593, 2025313, $0.78, $0.81, $0.7301
07/21/2020, $0.7584, 7370111, $0.7383, $0.885, $0.72
07/20/2020, $0.738, 6088002, $0.61, $0.77, $0.5953
07/17/2020, $0.585, 1173593, $0.6, $0.628, $0.5803
07/16/2020, $0.5946, 2150719, $0.59, $0.615, $0.57
07/15/2020, $0.5766, 2339530, $0.54, $0.6, $0.5212
07/14/2020, $0.5395, 1271566, $0.5985, $0.5985, $0.53
07/13/2020, $0.565, 6385489, $0.4866, $0.59, $0.46
07/10/2020, $0.4832, 406336, $0.49, $0.492, $0.47
07/09/2020, $0.49, 725149, $0.528, $0.5299, $0.47
07/08/2020, $0.52, 559301, $0.5248, $0.54, $0.5111
07/07/2020, $0.5287, 724502, $0.5214, $0.545, $0.51
07/06/2020, $0.5182, 649673, $0.545, $0.545, $0.51
07/02/2020, $0.531, 444620, $0.5391, $0.5486, $0.523
07/01/2020, $0.5319, 538529, $0.5267, $0.5444, $0.515
06/30/2020, $0.5271, 1000811, $0.51, $0.55, $0.5097
06/29/2020, $0.535, 1864846, $0.545, $0.58, $0.51
06/26/2020, $0.5191, 834130, $0.53, $0.5355, $0.51
06/25/2020, $0.536, 2081753, $0.57, $0.59, $0.523
06/24/2020, $0.535, 1215211, $0.511, $0.5498, $0.51
06/23/2020, $0.511, 587398, $0.53, $0.5349, $0.51
06/22/2020, $0.52, 531785, $0.5349, $0.546, $0.5052
06/19/2020, $0.5124, 747937, $0.511, $0.57, $0.492
06/18/2020, $0.512, 822063, $0.5599, $0.56, $0.505
06/17/2020, $0.55, 1181365, $0.5, $0.5611, $0.4902
06/16/2020, $0.506, 698797, $0.5383, $0.55, $0.4901
06/15/2020, $0.5111, 715367, $0.524, $0.5299, $0.48
06/12/2020, $0.5374, 1762043, $0.495, $0.6, $0.495
06/11/2020, $0.4852, 1598681, $0.5207, $0.53, $0.47
06/10/2020, $0.56, 1834025, $0.66, $0.67, $0.535
06/09/2020, $0.6087, 3859794, $0.6, $0.68, $0.57
06/08/2020, $0.515, 2106838, $0.48, $0.5374, $0.4605
06/05/2020, $0.4626, 1523549, $0.46, $0.4796, $0.44
06/04/2020, $0.4497, 932808, $0.45, $0.4599, $0.4375
06/03/2020, $0.4462, 745487, $0.465, $0.4899, $0.44
06/02/2020, $0.4534, 838253, $0.4312, $0.4742, $0.431
06/01/2020, $0.4442, 585301, $0.45, $0.4559, $0.4321
05/29/2020, $0.4416, 1119048, $0.5, $0.5, $0.4355
05/28/2020, $0.49, 3331508, $0.4351, $0.5374, $0.43
05/27/2020, $0.425, 868724, $0.46, $0.47, $0.4215
05/26/2020, $0.445, 769811, $0.4957, $0.4957, $0.4401
05/22/2020, $0.468, 637723, $0.4701, $0.4959, $0.45
05/21/2020, $0.465, 985708, $0.46, $0.53, $0.4501
05/20/2020, $0.483, 765012, $0.51, $0.5155, $0.4501
05/19/2020, $0.495, 2668760, $0.45, $0.55, $0.401
05/18/2020, $0.469, 4755977, $0.473, $0.57, $0.441
05/15/2020, $0.4, 1207687, $0.37, $0.449, $0.36
05/14/2020, $0.3679, 525727, $0.3899, $0.3899, $0.35
05/13/2020, $0.3857, 521837, $0.38, $0.4, $0.368
05/12/2020, $0.4, 836487, $0.4021, $0.4124, $0.3612
05/11/2020, $0.39, 530796, $0.418, $0.44, $0.39
