Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.55, 100371, $0.5764, $0.58, $0.5464
07/30/2020, $0.575, 114586, $0.5615, $0.5945, $0.54
07/29/2020, $0.5726, 93543, $0.5611, $0.6, $0.56
07/28/2020, $0.5787, 104814, $0.5828, $0.6, $0.56
07/27/2020, $0.5702, 59302, $0.58, $0.5804, $0.57
07/24/2020, $0.5897, 34437, $0.5946, $0.6119, $0.58
07/23/2020, $0.5946, 65360, $0.598, $0.6197, $0.5901
07/22/2020, $0.597, 202872, $0.6, $0.626, $0.5761
07/21/2020, $0.6251, 95007, $0.63, $0.648, $0.611
07/20/2020, $0.6208, 35431, $0.62, $0.64, $0.62
07/17/2020, $0.614, 322287, $0.6053, $0.6447, $0.5701
07/16/2020, $0.6179, 227676, $0.5854, $0.6197, $0.5798
07/15/2020, $0.56, 229230, $0.57, $0.58, $0.5512
07/14/2020, $0.565, 95862, $0.595, $0.6, $0.565
07/13/2020, $0.595, 137897, $0.608, $0.6343, $0.59
07/10/2020, $0.6082, 101361, $0.6053, $0.629, $0.6
07/09/2020, $0.6098, 47879, $0.6219, $0.6369, $0.6
07/08/2020, $0.615, 124094, $0.64, $0.6581, $0.6149
07/07/2020, $0.64, 79238, $0.65, $0.6825, $0.64
07/06/2020, $0.6468, 108592, $0.66, $0.695, $0.64
07/02/2020, $0.6638, 57814, $0.6612, $0.6942, $0.64
07/01/2020, $0.6531, 266044, $0.71, $0.71, $0.652
06/30/2020, $0.713, 61424, $0.662, $0.7298, $0.662
06/29/2020, $0.662, 74422, $0.7, $0.71, $0.6506
06/26/2020, $0.6795, 240812, $0.74, $0.74, $0.6564
06/25/2020, $0.7199, 87921, $0.68, $0.7199, $0.68
06/24/2020, $0.645, 198021, $0.7306, $0.7561, $0.62
06/23/2020, $0.7302, 117568, $0.746, $0.78, $0.7302
06/22/2020, $0.745, 76626, $0.798, $0.8, $0.73
06/19/2020, $0.76, 87935, $0.7555, $0.8, $0.75
06/18/2020, $0.7502, 85446, $0.8081, $0.8157, $0.74
06/17/2020, $0.7851, 131513, $0.7998, $0.82, $0.77
06/16/2020, $0.8104, 86942, $0.8078, $0.83, $0.7775
06/15/2020, $0.8049, 86879, $0.79, $0.83, $0.75
06/12/2020, $0.825, 133287, $0.76, $0.9, $0.76
06/11/2020, $0.7691, 322886, $0.76, $0.77, $0.6856
06/10/2020, $0.86, 163979, $0.88, $0.8806, $0.8001
06/09/2020, $0.8826, 247872, $1, $1, $0.8826
06/08/2020, $0.91, 664905, $0.88, $0.94, $0.82
06/05/2020, $0.7842, 384727, $0.7, $0.79, $0.7
06/04/2020, $0.6898, 73914, $0.69, $0.69, $0.65
06/03/2020, $0.67, 190323, $0.6799, $0.7, $0.65
06/02/2020, $0.6799, 94117, $0.6802, $0.6802, $0.65
06/01/2020, $0.67, 47281, $0.68, $0.68, $0.65
05/29/2020, $0.655, 126264, $0.65, $0.655, $0.6251
05/28/2020, $0.6583, 104442, $0.6697, $0.68, $0.65
05/27/2020, $0.6709, 119458, $0.64, $0.675, $0.64
05/26/2020, $0.656, 166374, $0.62, $0.689, $0.62
05/22/2020, $0.6289, 191427, $0.61, $0.63, $0.5701
05/21/2020, $0.6132, 99433, $0.65, $0.65, $0.6101
05/20/2020, $0.65, 125101, $0.601, $0.65, $0.601
05/19/2020, $0.65, 117496, $0.65, $0.66, $0.6
05/18/2020, $0.6701, 290382, $0.7, $0.7, $0.6191
05/15/2020, $0.6027, 533288, $0.6396, $0.65, $0.58
05/14/2020, $0.7, 3433447, $0.55, $0.87, $0.55
05/13/2020, $0.579, 150039, $0.65, $0.65, $0.53
05/12/2020, $0.6113, 45210, $0.6041, $0.64, $0.5761
05/11/2020, $0.62, 188660, $0.63, $0.66, $0.62
