Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.08, 496242, $3.1, $3.2, $3.0011
07/30/2020, $3.16, 727604, $3.04, $3.19, $2.95
07/29/2020, $3.05, 979432, $2.93, $3.07, $2.86
07/28/2020, $2.92, 733169, $2.94, $3.02, $2.8377
07/27/2020, $2.97, 973206, $3.08, $3.11, $2.87
07/24/2020, $3.06, 1147489, $3.31, $3.31, $3.02
07/23/2020, $3.32, 822977, $3.45, $3.45, $3.2319
07/22/2020, $3.39, 759559, $3.4, $3.49, $3.28
07/21/2020, $3.5, 1150207, $3.28, $3.56, $3.26
07/20/2020, $3.27, 660448, $3.3, $3.33, $3.2
07/17/2020, $3.32, 955223, $3.36, $3.4172, $3.21
07/16/2020, $3.32, 1891422, $3.09, $3.39, $3.07
07/15/2020, $3.16, 1439667, $3.25, $3.29, $3.06
07/14/2020, $3.2, 1193028, $3.18, $3.28, $3.04
07/13/2020, $3.16, 2191509, $3.55, $3.63, $3.105
07/10/2020, $3.54, 1615124, $3.37, $3.55, $3.2402
07/09/2020, $3.36, 4508682, $3.9, $3.94, $3.17
07/08/2020, $3.86, 11132380, $3.55, $4.29, $3.52
07/07/2020, $3.42, 6712449, $2.87, $3.64, $2.87
07/06/2020, $2.92, 830867, $2.81, $2.95, $2.81
07/02/2020, $2.84, 1308312, $3, $3.07, $2.82
07/01/2020, $2.96, 3095048, $2.8, $3.14, $2.76
06/30/2020, $2.82, 1025487, $2.8, $2.85, $2.71
06/29/2020, $2.79, 828877, $2.82, $2.8799, $2.73
06/26/2020, $2.84, 3876785, $2.83, $2.89, $2.73
06/25/2020, $2.885, 1413565, $2.855, $2.975, $2.69
06/24/2020, $2.88, 2127351, $2.75, $2.94, $2.45
06/23/2020, $2.75, 1506385, $2.66, $2.8, $2.5302
06/22/2020, $2.61, 3112265, $2.41, $2.85, $2.28
06/19/2020, $2.37, 2371513, $2.68, $2.68, $2.37
06/18/2020, $2.63, 2513849, $2.6, $2.75, $2.53
06/17/2020, $2.73, 26667480, $3.51, $3.51, $2.71
06/16/2020, $2.21, 1025393, $2.19, $2.31, $2.13
06/15/2020, $2.16, 1013204, $2.06, $2.1861, $2.0246
06/12/2020, $2.12, 1129015, $2.15, $2.21, $2
06/11/2020, $2.02, 1717769, $2.2, $2.29, $2
06/10/2020, $2.42, 4052871, $2.71, $2.74, $2.345
06/09/2020, $3.13, 11063250, $2.3, $3.67, $2
06/08/2020, $2.32, 2494118, $2.37, $2.38, $2.12
06/05/2020, $2.34, 4187186, $1.94, $2.38, $1.88
06/04/2020, $1.94, 1264655, $1.9, $1.98, $1.8701
06/03/2020, $1.94, 891559, $1.91, $1.94, $1.86
06/02/2020, $1.91, 1154067, $1.89, $1.93, $1.84
06/01/2020, $1.87, 1080577, $1.95, $1.95, $1.83
05/29/2020, $1.93, 1043349, $1.95, $1.99, $1.85
05/28/2020, $1.95, 1473843, $1.92, $2.02, $1.86
05/27/2020, $1.92, 743020, $1.9, $1.945, $1.82
05/26/2020, $1.87, 1476461, $1.9, $1.99, $1.82
05/22/2020, $1.91, 1186052, $1.83, $1.95, $1.78
05/21/2020, $1.85, 882231, $1.89, $1.89, $1.78
05/20/2020, $1.88, 1429921, $1.91, $1.97, $1.85
05/19/2020, $1.95, 2221008, $2.06, $2.08, $1.89
05/18/2020, $1.89, 1036912, $1.93, $1.99, $1.86
05/15/2020, $1.84, 981097, $1.89, $1.93, $1.78
05/14/2020, $1.88, 1285286, $1.85, $1.91, $1.69
05/13/2020, $1.87, 1407171, $1.95, $1.96, $1.76
05/12/2020, $1.92, 1655797, $2.07, $2.1, $1.9
05/11/2020, $2.07, 1134556, $2.11, $2.11, $2
