Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.95, 157457, $5, $5.21, $3.8
07/30/2020, $4.74, 615110, $4.73, $6.8, $4.51
07/29/2020, $4.52, 314471, $5.05, $5.2142, $4.5
07/28/2020, $5.7, 1219815, $6.16, $7.2, $5.45
07/27/2020, $7.8, 51761990, $8.05, $12.92, $6.82
07/24/2020, $3.735, 951740, $4.25, $7.33, $3.5401
07/23/2020, $3.54, 1857, $3.7, $3.7, $3.54
07/22/2020, $3.55, 238, $3.55, $3.55, $3.55
07/21/2020, $3.51, 1198, $3.55, $3.55, $3.51
07/20/2020, $3.52, 1570, $3.6, $3.6001, $3.5
07/17/2020, $3.54, 629, $3.54, $3.54, $3.54
07/16/2020, $3.65, 8075, $4.16, $4.79, $3.5
07/15/2020, $3.85, 1671, $3.85, $3.85, $3.85
07/14/2020, $3.7, N/A, $3.7, $3.7, $3.7
07/13/2020, $3.7, 296, $3.5, $3.7, $3.5
07/10/2020, $3.7, 800, $3.61, $3.7, $3.61
07/09/2020, $3.67, 1418, $3.99, $3.99, $3.67
07/08/2020, $3.8, 327, $3.8, $3.8, $3.8
07/07/2020, $3.74, 492, $3.74, $3.74, $3.74
07/06/2020, $4.053, 679, $4.2645, $4.2645, $4.05
07/02/2020, $4, N/A, $4, $4, $4
07/01/2020, $4, N/A, $4, $4, $4
06/30/2020, $4, 262, $4, $4, $4
06/29/2020, $4.2, N/A, $4.2, $4.2, $4.2
06/26/2020, $4.2, 524, $4.2, $4.2, $4.2
06/25/2020, $4.1, 478, $4.1, $4.1, $4.1
06/24/2020, $4.55, N/A, $4.55, $4.55, $4.55
06/23/2020, $4.55, 459, $4.15, $4.55, $4.15
06/22/2020, $4.4, N/A, $4.4, $4.4, $4.4
06/19/2020, $4.4, 2230, $4.87, $4.87, $4.38
06/18/2020, $4.5, 896, $4.09, $4.5, $4.07
06/17/2020, $3.84, 352, $3.84, $3.84, $3.84
06/16/2020, $3.54, 514, $3.54, $3.54, $3.54
06/15/2020, $3.84, 496, $3.84, $3.84, $3.84
06/12/2020, $3.58, 340, $3.43, $3.58, $3.43
06/11/2020, $3.5362, 803, $3.44, $3.5362, $3.44
06/10/2020, $3.44, 2133, $3.98, $3.98, $3.44
06/09/2020, $4.0028, 459, $3.88, $4.0028, $3.88
06/08/2020, $4.39, 232, $4.39, $4.39, $4.39
06/05/2020, $4.5, N/A, $4.5, $4.5, $4.5
06/04/2020, $4.5, N/A, $4.5, $4.5, $4.5
06/03/2020, $4.5, N/A, $4.5, $4.5, $4.5
06/02/2020, $4.5, N/A, $4.5, $4.5, $4.5
06/01/2020, $4.5, N/A, $4.5, $4.5, $4.5
05/29/2020, $4.5, N/A, $4.5, $4.5, $4.5
05/28/2020, $4.5, N/A, $4.5, $4.5, $4.5
05/27/2020, $4.5, N/A, $4.5, $4.5, $4.5
05/26/2020, $4.5, N/A, $4.5, $4.5, $4.5
05/22/2020, $4.5, N/A, $4.5, $4.5, $4.5
05/21/2020, $4.5, N/A, $4.5, $4.5, $4.5
05/20/2020, $4.5, 180, $4.5, $4.5, $4.5
05/19/2020, $4.51, 331, $4.57, $4.57, $4.51
05/18/2020, $4.88, 223, $4.88, $4.88, $4.88
05/15/2020, $4.91, 333, $4.91, $4.91, $4.91
05/14/2020, $4.6975, N/A, $4.6975, $4.6975, $4.6975
05/13/2020, $4.6975, N/A, $4.6975, $4.6975, $4.6975
05/12/2020, $4.6975, 622, $4.91, $4.91, $4.6
05/11/2020, $5.17, 734, $4.8231, $5.17, $4.8231
