Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.85, 16922, $1.74, $1.87, $1.7201
07/30/2020, $1.77, 1354, $1.77, $1.7946, $1.77
07/29/2020, $1.87, 17798, $1.75, $1.87, $1.75
07/28/2020, $1.71, 31226, $1.76, $1.76, $1.7
07/27/2020, $1.7665, 14161, $1.93, $1.93, $1.7612
07/24/2020, $1.93, 7936, $1.82, $1.93, $1.82
07/23/2020, $1.83, 14673, $1.87, $1.9, $1.82
07/22/2020, $1.9, 15306, $1.9, $1.9, $1.79
07/21/2020, $1.9, 8930, $1.96, $1.9881, $1.9
07/20/2020, $1.91, 47514, $2.032, $2.032, $1.72
07/17/2020, $2.03, 9789, $2, $2.05, $1.97
07/16/2020, $1.97, 16623, $2.06, $2.09, $1.97
07/15/2020, $2, 8200, $1.9602, $2.05, $1.9601
07/14/2020, $1.965, 53913, $2.05, $2.1129, $1.9
07/13/2020, $2.01, 53458, $2.09, $2.14, $1.98
07/10/2020, $2.09, 55443, $1.92, $2.13, $1.92
07/09/2020, $1.92, 19751, $2.05, $2.05, $1.9
07/08/2020, $2.02, 27912, $2, $2.05, $1.87
07/07/2020, $1.97, 103662, $1.96, $2.085, $1.9401
07/06/2020, $1.905, 31567, $1.99, $1.991, $1.86
07/02/2020, $1.9, 15644, $1.84, $1.94, $1.84
07/01/2020, $1.9, 23650, $1.76, $1.9, $1.76
06/30/2020, $1.74, 62130, $1.77, $1.85, $1.6619
06/29/2020, $1.72, 45920, $1.62, $1.76, $1.62
06/26/2020, $1.66, 18628, $1.73, $1.7699, $1.5751
06/25/2020, $1.72, 13378, $1.74, $1.79, $1.67
06/24/2020, $1.7, 79779, $1.74, $1.7499, $1.62
06/23/2020, $1.61, 18918, $1.65, $1.7499, $1.605
06/22/2020, $1.65, 78120, $1.82, $1.8893, $1.5
06/19/2020, $1.9, 47317, $1.78, $1.91, $1.77
06/18/2020, $1.73, 2119, $1.75, $1.81, $1.72
06/17/2020, $1.77, 20139, $1.64, $1.79, $1.6111
06/16/2020, $1.6773, 17763, $1.74, $1.83, $1.5801
06/15/2020, $1.71, 20083, $1.56, $1.93, $1.55
06/12/2020, $1.8, 32443, $2.25, $2.26, $1.65
06/11/2020, $1.706, 60098, $1.81, $1.8914, $1.7
06/10/2020, $1.91, 40422, $1.86, $1.925, $1.83
06/09/2020, $1.89, 57285, $2.11, $2.13, $1.8599
06/08/2020, $2.13, 105768, $2.21, $2.25, $2.08
06/05/2020, $2.02, 175248, $1.71, $2.075, $1.71
06/04/2020, $1.64, 96933, $1.39, $1.65, $1.39
06/03/2020, $1.4275, 65802, $1.38, $1.46, $1.38
06/02/2020, $1.44, 142049, $1.4, $1.47, $1.39
06/01/2020, $1.44, 32520, $1.39, $1.48, $1.37
05/29/2020, $1.43, 78348, $1.42, $1.54, $1.37
05/28/2020, $1.43, 162619, $1.41, $1.6, $1.34
05/27/2020, $1.34, 73612, $1.4, $1.43, $1.3
05/26/2020, $1.38, 94921, $1.5, $1.5, $1.295
05/22/2020, $1.33, 58031, $1.27, $1.4, $1.22
05/21/2020, $1.27, 99024, $1.5, $1.5, $1.2
05/20/2020, $1.5, 35300, $1.3, $1.53, $1.3
05/19/2020, $1.3036, 55061, $1.25, $1.32, $1.18
05/18/2020, $1.2, 44465, $1.26, $1.3, $1.076
05/15/2020, $1.305, 24115, $1.39, $1.49, $1.22
05/14/2020, $1.41, 201330, $1.12, $1.6, $1.12
05/13/2020, $1.12, 36599, $1.09, $1.16, $1.08
05/12/2020, $1.14, 84682, $1.07, $1.31, $1.07
05/11/2020, $1.02, 28689, $1.12, $1.14, $1.02
