Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.03, 257719, $1.1, $1.11, $1.03
07/30/2020, $1.1, 47486, $1.11, $1.12, $1.09
07/29/2020, $1.1, 119735, $1.11, $1.13, $1.09
07/28/2020, $1.1, 55309, $1.11, $1.12, $1.09
07/27/2020, $1.1, 135506, $1.1, $1.12, $1.09
07/24/2020, $1.1, 72121, $1.12, $1.13, $1.08
07/23/2020, $1.11, 52601, $1.12, $1.13, $1.1
07/22/2020, $1.12, 125905, $1.16, $1.1695, $1.098
07/21/2020, $1.16, 95622, $1.13, $1.19, $1.12
07/20/2020, $1.13, 171967, $1.19, $1.19, $1.11
07/17/2020, $1.18, 135717, $1.21, $1.22, $1.16
07/16/2020, $1.21, 202175, $1.21, $1.22, $1.17
07/15/2020, $1.2, 511599, $1.09, $1.23, $1.07
07/14/2020, $1.09, 461801, $1.12, $1.13, $1.05
07/13/2020, $1.06, 1431480, $1.05, $1.15, $1
07/10/2020, $0.8149, 503411, $0.86, $0.8699, $0.81
07/09/2020, $0.87, 25155, $0.894, $0.8949, $0.86
07/08/2020, $0.894, 34081, $0.8935, $0.9068, $0.87
07/07/2020, $0.875, 81320, $0.8449, $0.88, $0.8449
07/06/2020, $0.8399, 142168, $0.8298, $0.85, $0.8014
07/02/2020, $0.7898, 27138, $0.8, $0.8099, $0.7754
07/01/2020, $0.7865, 52769, $0.825, $0.85, $0.785
06/30/2020, $0.8189, 30715, $0.785, $0.819, $0.76
06/29/2020, $0.7807, 31166, $0.7819, $0.8058, $0.78
06/26/2020, $0.7798, 82896, $0.81, $0.82, $0.77
06/25/2020, $0.7738, 37457, $0.777, $0.777, $0.763
06/24/2020, $0.7649, 123437, $0.821, $0.8299, $0.7583
06/23/2020, $0.8203, 28963, $0.8348, $0.85, $0.8175
06/22/2020, $0.821, 115503, $0.8501, $0.858, $0.81
06/19/2020, $0.8299, 82285, $0.8135, $0.85, $0.8
06/18/2020, $0.8377, 380872, $0.85, $0.8993, $0.805
06/17/2020, $0.995, 1023377, $0.9, $1.09, $0.87
06/16/2020, $0.8928, 572482, $0.808, $0.9019, $0.8
06/15/2020, $0.8195, 32790, $0.794, $0.82, $0.78
06/12/2020, $0.7858, 58072, $0.811, $0.8286, $0.7825
06/11/2020, $0.8001, 49686, $0.83, $0.85, $0.79
06/10/2020, $0.8265, 120941, $0.83, $0.83, $0.8204
06/09/2020, $0.83, 70762, $0.83, $0.83, $0.8201
06/08/2020, $0.83, 170799, $0.83, $0.83, $0.799
06/05/2020, $0.8251, 63330, $0.82, $0.8302, $0.81
06/04/2020, $0.8267, 20012, $0.83, $0.83, $0.7946
06/03/2020, $0.8149, 7064, $0.8219, $0.8289, $0.7903
06/02/2020, $0.8219, 24064, $0.83, $0.83, $0.8092
06/01/2020, $0.8299, 31354, $0.812, $0.8299, $0.79
05/29/2020, $0.8196, 4793, $0.81, $0.8298, $0.81
05/28/2020, $0.8, 26753, $0.83, $0.83, $0.79
05/27/2020, $0.8251, 21312, $0.805, $0.83, $0.805
05/26/2020, $0.8157, 28034, $0.81, $0.8157, $0.791
05/22/2020, $0.81, 33412, $0.8, $0.81, $0.7902
05/21/2020, $0.7992, 41516, $0.81, $0.8296, $0.7992
05/20/2020, $0.81, 9426, $0.766, $0.81, $0.7567
05/19/2020, $0.753, 32789, $0.76, $0.774, $0.745
05/18/2020, $0.7936, 5430, $0.77, $0.82, $0.77
05/15/2020, $0.7395, 10842, $0.744, $0.744, $0.7262
05/14/2020, $0.72, 33485, $0.75, $0.75, $0.72
05/13/2020, $0.75, 41803, $0.79, $0.8, $0.72
05/12/2020, $0.754, 40677, $0.82, $0.82, $0.75
05/11/2020, $0.7982, 42584, $0.805, $0.82, $0.7982
