Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.96, 792333, $2.06, $2.09, $1.91
07/30/2020, $2.08, 2304876, $1.9, $2.17, $1.9
07/29/2020, $1.95, 585154, $1.84, $1.98, $1.84
07/28/2020, $1.865, 345233, $1.84, $1.89, $1.84
07/27/2020, $1.84, 777711, $1.87, $1.89, $1.76
07/24/2020, $1.95, 3338669, $1.84, $2.05, $1.73
07/23/2020, $1.85, 65801700, $2.19, $2.78, $1.73
07/22/2020, $1.6, 1442942, $1.59, $1.695, $1.53
07/21/2020, $1.54, 405395, $1.6, $1.615, $1.51
07/20/2020, $1.63, 418749, $1.59, $1.67, $1.57
07/17/2020, $1.62, 1043423, $1.535, $1.66, $1.51
07/16/2020, $1.6599, 1111113, $1.5, $1.7, $1.48
07/15/2020, $1.52, 348968, $1.52, $1.56, $1.47
07/14/2020, $1.5, 482557, $1.52, $1.54, $1.45
07/13/2020, $1.52, 859899, $1.51, $1.55, $1.47
07/10/2020, $1.51, 446478, $1.52, $1.56, $1.48
07/09/2020, $1.53, 751874, $1.52, $1.58, $1.47
07/08/2020, $1.5, 1137586, $1.45, $1.58, $1.45
07/07/2020, $1.45, 687507, $1.55, $1.55, $1.43
07/06/2020, $1.55, 912971, $1.54, $1.55, $1.41
07/02/2020, $1.49, 2521371, $1.37, $1.64, $1.34
07/01/2020, $1.39, 919692, $1.37, $1.45, $1.27
06/30/2020, $1.37, 363348, $1.37, $1.42, $1.35
06/29/2020, $1.4, 396222, $1.435, $1.44, $1.3402
06/26/2020, $1.425, 498959, $1.44, $1.445, $1.36
06/25/2020, $1.44, 427916, $1.4, $1.45, $1.35
06/24/2020, $1.4, 360426, $1.4, $1.43, $1.36
06/23/2020, $1.41, 599443, $1.45, $1.46, $1.4
06/22/2020, $1.45, 659147, $1.54, $1.54, $1.45
06/19/2020, $1.54, 800947, $1.51, $1.58, $1.45
06/18/2020, $1.49, 825635, $1.55, $1.6, $1.46
06/17/2020, $1.62, 2116161, $1.61, $1.78, $1.58
06/16/2020, $1.535, 1030197, $1.54, $1.63, $1.5
06/15/2020, $1.51, 892958, $1.46, $1.6, $1.42
06/12/2020, $1.51, 1773438, $1.46, $1.65, $1.38
06/11/2020, $1.38, 736689, $1.53, $1.58, $1.36
06/10/2020, $1.62, 790771, $1.67, $1.7199, $1.52
06/09/2020, $1.62, 1834577, $1.65, $1.74, $1.54
06/08/2020, $1.62, 1729337, $1.55, $1.66, $1.48
06/05/2020, $1.54, 882287, $1.58, $1.64, $1.5
06/04/2020, $1.52, 3614325, $1.64, $1.65, $1.48
06/03/2020, $1.88, 2190826, $1.62, $2.24, $1.62
06/02/2020, $1.63, 65656, $1.66, $1.6645, $1.6
06/01/2020, $1.67, 146760, $1.54, $1.725, $1.51
05/29/2020, $1.5, 76471, $1.57, $1.6139, $1.5
05/28/2020, $1.58, 184519, $1.5, $1.65, $1.46
05/27/2020, $1.46, 172578, $1.58, $1.59, $1.45
05/26/2020, $1.59, 125179, $1.69, $1.736, $1.58
05/22/2020, $1.7, 574976, $1.9, $1.94, $1.58
05/21/2020, $1.99, 3197308, $1.81, $3.2, $1.75
05/20/2020, $1.8331, 80290, $1.87, $1.98, $1.775
05/19/2020, $1.86, 36027, $1.92, $1.969, $1.81
05/18/2020, $1.915, 31101, $1.94, $1.99, $1.9
05/15/2020, $1.9178, 19790, $1.89, $1.98, $1.89
05/14/2020, $1.88, 53753, $1.98, $1.986, $1.88
05/13/2020, $2.005, 61334, $2.02, $2.0343, $1.95
05/12/2020, $2.02, 36285, $2.13, $2.22, $1.98
05/11/2020, $2.1, 67476, $2.24, $2.24, $2.0604
