Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.85, 442207, $2.77, $2.85, $2.6577
07/30/2020, $2.71, 843263, $2.82, $2.82, $2.7
07/29/2020, $2.83, 872234, $2.82, $2.9, $2.77
07/28/2020, $2.75, 633595, $2.9, $2.9039, $2.75
07/27/2020, $2.9, 293056, $2.95, $2.97, $2.87
07/24/2020, $2.94, 544183, $3, $3.0381, $2.88
07/23/2020, $2.99, 476047, $2.99, $3.1, $2.95
07/22/2020, $2.98, 496093, $3.05, $3.19, $2.97
07/21/2020, $3.07, 562301, $3, $3.07, $2.963
07/20/2020, $2.98, 451861, $3, $3, $2.8899
07/17/2020, $2.96, 180930, $3.02, $3.02, $2.95
07/16/2020, $3, 367760, $2.97, $3.0922, $2.92
07/15/2020, $2.99, 620592, $2.93, $3.05, $2.865
07/14/2020, $2.86, 667549, $2.92, $2.92, $2.78
07/13/2020, $2.91, 1153432, $3.1, $3.13, $2.9
07/10/2020, $3.05, 1246318, $2.94, $3.055, $2.8616
07/09/2020, $2.93, 784547, $3.01, $3.04, $2.88
07/08/2020, $2.99, 494783, $3, $3.09, $2.945
07/07/2020, $3.01, 506901, $3.05, $3.08, $2.955
07/06/2020, $3.07, 1097972, $3.15, $3.2603, $3.06
07/02/2020, $3.05, 557539, $3.1, $3.175, $3.03
07/01/2020, $2.98, 665772, $3.14, $3.17, $2.96
06/30/2020, $3.14, 1326199, $3.03, $3.27, $2.9901
06/29/2020, $2.99, 825258, $2.9, $3.07, $2.8
06/26/2020, $2.86, 4208411, $2.99, $3.03, $2.7864
06/25/2020, $2.94, 1622051, $3.07, $3.1, $2.81
06/24/2020, $2.99, 1264885, $3.11, $3.12, $2.9
06/23/2020, $3.11, 1022167, $3.02, $3.23, $2.96
06/22/2020, $2.99, 688574, $3.17, $3.17, $2.9
06/19/2020, $3.14, 1280717, $3.01, $3.2, $2.8801
06/18/2020, $2.99, 618994, $3.03, $3.06, $2.9
06/17/2020, $3.04, 513909, $3.17, $3.17, $3
06/16/2020, $3.15, 506894, $3.37, $3.38, $3.09
06/15/2020, $3.13, 827400, $3.08, $3.18, $3.005
06/12/2020, $3.28, 778525, $3.47, $3.47, $3.08
06/11/2020, $3.11, 771336, $3.3, $3.52, $3.05
06/10/2020, $3.605, 1104099, $3.89, $4.05, $3.48
06/09/2020, $3.91, 1057825, $3.83, $4.1, $3.7
06/08/2020, $4.49, 2910639, $3.36, $4.6, $3.32
06/05/2020, $3.17, 1095957, $3.06, $3.28, $3.05
06/04/2020, $2.94, 573763, $3, $3.09, $2.9152
06/03/2020, $3, 553499, $2.93, $3.09, $2.92
06/02/2020, $2.88, 449447, $2.78, $2.975, $2.78
06/01/2020, $2.75, 894562, $2.88, $2.98, $2.75
05/29/2020, $2.985, 896094, $3, $3.01, $2.72
05/28/2020, $3.095, 1001938, $3.21, $3.24, $3.04
05/27/2020, $3.2, 745822, $3.21, $3.29, $3.0886
05/26/2020, $3.11, 508355, $3.1, $3.21, $3.07
05/22/2020, $3.01, 361388, $2.98, $3.09, $2.87
05/21/2020, $2.95, 186102, $2.93, $3.05, $2.89
05/20/2020, $2.93, 194760, $2.92, $3.02, $2.89
05/19/2020, $2.89, 256839, $2.92, $3.01, $2.86
05/18/2020, $2.925, 389036, $2.98, $3.05, $2.89
05/15/2020, $2.86, 196686, $2.81, $2.91, $2.78
05/14/2020, $2.83, 222599, $2.82, $2.89, $2.62
05/13/2020, $2.81, 486209, $3, $3, $2.71
05/12/2020, $3.01, 307025, $2.95, $3.11, $2.9
05/11/2020, $2.9, 430593, $3.13, $3.13, $2.9
