Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.41, 8518, $2.52, $2.52, $2.35
07/30/2020, $2.32, 5942, $2.42, $2.485, $2.32
07/29/2020, $2.332, 13897, $2.41, $2.52, $2.26
07/28/2020, $2.34, 11534, $2.47, $2.525, $2.29
07/27/2020, $2.48, 37218, $2.57, $2.57, $2.48
07/24/2020, $2.5, 15795, $2.55, $2.575, $2.5
07/23/2020, $2.55, 48680, $2.55, $2.69, $2.55
07/22/2020, $2.54, 26577, $2.5, $2.59, $2.5
07/21/2020, $2.5, 49870, $2.6, $2.6, $2.43
07/20/2020, $2.55, 37618, $2.49, $2.57, $2.49
07/17/2020, $2.5, 50172, $2.6, $2.6, $2.4
07/16/2020, $2.52, 36765, $2.5999, $2.5999, $2.5
07/15/2020, $2.51, 139290, $2.57, $2.59, $2.47
07/14/2020, $2.46, 50180, $2.43, $2.52, $2.3
07/13/2020, $2.425, 135551, $2.39, $2.76, $2.32
07/10/2020, $2.34, 17886, $2.35, $2.39, $2.22
07/09/2020, $2.27, 23900, $2.27, $2.3, $2.24
07/08/2020, $2.28, 8288, $2.37, $2.37, $2.18
07/07/2020, $2.28, 8127, $2.34, $2.3799, $2.27
07/06/2020, $2.28, 13344, $2.29, $2.4, $2.181
07/02/2020, $2.16, 6201, $2.26, $2.26, $2.12
07/01/2020, $2.19, 7091, $2.18, $2.4196, $2.14
06/30/2020, $2.18, 17896, $2.19, $2.23, $2.11
06/29/2020, $2.16, 28255, $2.24, $2.28, $2.02
06/26/2020, $2.19, 9023, $2.28, $2.28, $2.19
06/25/2020, $2.24, 14412, $2.27, $2.27, $2.2
06/24/2020, $2.2, 16452, $2.325, $2.325, $2.2
06/23/2020, $2.29, 11671, $2.28, $2.29, $2.24
06/22/2020, $2.22, 145301, $2.25, $2.5, $2.18
06/19/2020, $2.18, 11115, $2.22, $2.22, $2.18
06/18/2020, $2.18, 10368, $2.225, $2.24, $2.16
06/17/2020, $2.18, 13615, $2.25, $2.25, $2.17
06/16/2020, $2.19, 28786, $2.21, $2.34, $2.16
06/15/2020, $2.21, 41020, $2.24, $2.32, $2.21
06/12/2020, $2.24, 23597, $2.4, $2.4499, $2.235
06/11/2020, $2.2, 137680, $2.42, $2.77, $2.07
06/10/2020, $2.43, 34873, $2.48, $2.54, $2.27
06/09/2020, $2.39, 50757, $2.67, $2.88, $2.3
06/08/2020, $2.65, 96744, $2.66, $2.89, $2.31
06/05/2020, $2.43, 12634, $2.39, $2.45, $2.39
06/04/2020, $2.39, 15916, $2.4, $2.4, $2.37
06/03/2020, $2.375, 42901, $2.2, $2.39, $2.2
06/02/2020, $2.2, 29152, $2.16, $2.2, $2.0823
06/01/2020, $2.19, 39392, $1.9, $2.2, $1.9
05/29/2020, $2.1, 41138, $1.87, $2.1, $1.7834
05/28/2020, $1.86, 52003, $1.76, $1.88, $1.75
05/27/2020, $1.79, 17921, $1.85, $1.87, $1.71
05/26/2020, $1.83, 26366, $2.04, $2.04, $1.81
05/22/2020, $1.95, 24356, $2.02, $2.02, $1.9
05/21/2020, $1.87, 8835, $2.08, $2.08, $1.85
05/20/2020, $1.91, 50804, $2.015, $2.15, $1.87
05/19/2020, $2, 25855, $1.8, $2.1, $1.63
05/18/2020, $1.85, 16791, $1.92, $1.98, $1.8
05/15/2020, $2.01, 31186, $2.0598, $2.0598, $1.99
05/14/2020, $2.07, 47242, $2.105, $2.105, $1.83
05/13/2020, $2.075, 21770, $2.01, $2.2, $1.9926
05/12/2020, $2.025, 14828, $2.05, $2.11, $1.8
05/11/2020, $2.08, 10040, $2.15, $2.15, $1.99
