Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.97, 1645452, $3.05, $3.06, $2.9027
07/30/2020, $3.07, 1245932, $2.95, $3.1, $2.93
07/29/2020, $2.94, 1493057, $3.04, $3.1, $2.9
07/28/2020, $3.02, 1254970, $3.16, $3.21, $3.02
07/27/2020, $3.19, 1432357, $3.09, $3.23, $3.07
07/24/2020, $3.09, 1260822, $3.13, $3.22, $3.06
07/23/2020, $3.15, 1292046, $3.3, $3.32, $3.13
07/22/2020, $3.27, 1137509, $3.35, $3.42, $3.27
07/21/2020, $3.34, 1262483, $3.41, $3.46, $3.34
07/20/2020, $3.43, 1464234, $3.35, $3.44, $3.33
07/17/2020, $3.35, 1699529, $3.27, $3.42, $3.27
07/16/2020, $3.28, 1271877, $3.4, $3.4, $3.27
07/15/2020, $3.41, 1781248, $3.36, $3.46, $3.325
07/14/2020, $3.315, 1272975, $3.28, $3.32, $3.2
07/13/2020, $3.26, 1647684, $3.39, $3.48, $3.26
07/10/2020, $3.37, 2192704, $3.36, $3.55, $3.2622
07/09/2020, $3.25, 1334624, $3.19, $3.3, $3.17
07/08/2020, $3.195, 1379425, $3.25, $3.26, $3.15
07/07/2020, $3.215, 1312775, $3.19, $3.275, $3.1798
07/06/2020, $3.23, 1327429, $3.27, $3.32, $3.1721
07/02/2020, $3.24, 1444745, $3.32, $3.36, $3.21
07/01/2020, $3.27, 2532485, $3.23, $3.32, $3.14
06/30/2020, $3.28, 1472331, $3.22, $3.295, $3.16
06/29/2020, $3.21, 3519364, $3.45, $3.45, $3.06
06/26/2020, $3.41, 6723481, $3.67, $3.73, $3.37
06/25/2020, $3.71, 3126009, $3.4, $3.7979, $3.38
06/24/2020, $3.43, 2032379, $3.53, $3.67, $3.43
06/23/2020, $3.58, 2074756, $3.61, $3.7, $3.51
06/22/2020, $3.55, 3033401, $3.27, $3.585, $3.27
06/19/2020, $3.27, 7962543, $3.43, $3.64, $3.27
06/18/2020, $3.29, 1190024, $3.26, $3.41, $3.23
06/17/2020, $3.24, 1673283, $3.28, $3.47, $3.24
06/16/2020, $3.3, 1928429, $3.43, $3.49, $3.26
06/15/2020, $3.39, 1920783, $3, $3.395, $2.97
06/12/2020, $3.105, 1702792, $3.13, $3.1599, $2.98
06/11/2020, $3, 2451769, $3.13, $3.21, $3
06/10/2020, $3.28, 1938999, $3.14, $3.44, $3.13
06/09/2020, $3.16, 1591568, $3.21, $3.29, $3.14
06/08/2020, $3.25, 2649055, $3.2, $3.42, $3.15
06/05/2020, $3.11, 1767466, $3.13, $3.18, $3.05
06/04/2020, $3.05, 1430250, $3.06, $3.15, $3.01
06/03/2020, $3.08, 2132155, $3.19, $3.23, $3.06
06/02/2020, $3.12, 2325809, $3.07, $3.25, $3.01
06/01/2020, $3.01, 2419479, $3, $3.07, $2.86
05/29/2020, $2.96, 2047835, $3.21, $3.21, $2.9
05/28/2020, $3.07, 2600063, $3.48, $3.5429, $3.025
05/27/2020, $3.49, 2040407, $3.34, $3.52, $3.25
05/26/2020, $3.26, 2531632, $3.54, $3.55, $3.18
05/22/2020, $3.42, 2797474, $3.09, $3.42, $3.07
05/21/2020, $3.11, 1642110, $2.95, $3.135, $2.885
05/20/2020, $2.97, 1890047, $2.82, $3.06, $2.79
05/19/2020, $2.75, 1470971, $2.94, $2.99, $2.75
05/18/2020, $2.97, 1927167, $2.78, $3.05, $2.75
05/15/2020, $2.695, 1355601, $2.7, $2.71, $2.61
05/14/2020, $2.66, 1477495, $2.76, $2.81, $2.63
05/13/2020, $2.84, 1696976, $2.99, $3.101, $2.795
05/12/2020, $2.99, 2729294, $2.84, $3.19, $2.82
05/11/2020, $2.86, 1674262, $2.71, $2.905, $2.635
