Date, Close/Last, Volume, Open, High, Low
08/26/2020, $0.3476, 6708247, $0.333, $0.3799, $0.322
08/25/2020, $0.3202, 5196278, $0.3366, $0.34, $0.3116
08/24/2020, $0.354, 8420193, $0.3909, $0.3909, $0.32
08/21/2020, $0.386, 3798638, $0.3821, $0.3998, $0.38
08/20/2020, $0.38, 4526567, $0.4094, $0.41, $0.38
08/19/2020, $0.4075, 4336577, $0.4173, $0.419, $0.4003
08/18/2020, $0.405, 6271915, $0.4374, $0.439, $0.404
08/17/2020, $0.4258, 11987160, $0.42, $0.463, $0.407
08/14/2020, $0.3882, 6309438, $0.4122, $0.4122, $0.38
08/13/2020, $0.4274, 13818270, $0.3616, $0.43, $0.3562
08/12/2020, $0.3644, 4296751, $0.372, $0.3808, $0.355
08/11/2020, $0.3702, 4874081, $0.3803, $0.3814, $0.367
08/10/2020, $0.3826, 7881092, $0.4, $0.4061, $0.38
08/07/2020, $0.4241, 3667022, $0.418, $0.43, $0.41
08/06/2020, $0.4324, 7363351, $0.459, $0.46, $0.4131
08/05/2020, $0.4693, 15023090, $0.4919, $0.517, $0.4505
08/04/2020, $0.4982, 21585500, $0.4444, $0.51, $0.438
08/03/2020, $0.4444, 33720370, $0.4444, $0.52, $0.4048
07/31/2020, $0.45, 184785400, $0.6987, $0.88, $0.4322
07/30/2020, $0.2722, 31488440, $0.1975, $0.2783, $0.185
07/29/2020, $0.2001, 3067185, $0.2095, $0.2095, $0.1969
07/28/2020, $0.2098, 1885789, $0.217, $0.217, $0.203
07/27/2020, $0.214, 2862541, $0.2224, $0.2224, $0.202
07/24/2020, $0.2206, 2236964, $0.225, $0.2263, $0.216
07/23/2020, $0.2287, 1751478, $0.2366, $0.2366, $0.225
07/22/2020, $0.2332, 5434472, $0.225, $0.244, $0.221
07/21/2020, $0.227, 2191258, $0.23, $0.233, $0.2211
07/20/2020, $0.2277, 1685003, $0.23, $0.23, $0.216
07/17/2020, $0.23, 1625994, $0.23, $0.23, $0.22
07/16/2020, $0.2297, 1390702, $0.23, $0.2327, $0.222
07/15/2020, $0.2347, 2442326, $0.23, $0.237, $0.2198
07/14/2020, $0.2215, 1885969, $0.22, $0.2243, $0.21
07/13/2020, $0.2218, 1788722, $0.2275, $0.2275, $0.22
07/10/2020, $0.23, 1618470, $0.231, $0.24, $0.2202
07/09/2020, $0.2389, 2180200, $0.24, $0.24, $0.223
07/08/2020, $0.2391, 2610605, $0.24, $0.2438, $0.23
07/07/2020, $0.2494, 2449437, $0.2601, $0.2601, $0.245
07/06/2020, $0.2664, 2323592, $0.271, $0.272, $0.2512
07/02/2020, $0.2681, 1863391, $0.275, $0.2755, $0.264
07/01/2020, $0.279, 1823471, $0.294, $0.295, $0.27
06/30/2020, $0.2978, 1472433, $0.2968, $0.3, $0.283
06/29/2020, $0.2926, 1772627, $0.31, $0.31, $0.2861
06/26/2020, $0.3098, 1814561, $0.31, $0.3101, $0.295
06/25/2020, $0.3167, 2865835, $0.317, $0.3301, $0.306
